data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
3741,3738,3738,3730,3730,3727,3727,3737,3737,3734,3734,3729,3729,3732,3732,3736,3736
3517,3511,3511,3494,3494,3500,3500,3514,3514,3509,3509,3505,3505,3506,3506,3507,3507
2420,2424,2424,2394,2394,2423,2423,2440,2440,2344,2344,2457,2457,2402,2402,2379,2379
2112,2112,2112,2098,2098,2055,2055,1999,1999,2013,2013,2086,2086,2095,2095,2022,2022
1729,1895,1895,1886,1886,1784,1784,1842,1842,1957,1957,1736,1736,1812,1812,1869,1869
1824,1764,1764,1806,1806,1936,1936,1741,1741,1810,1810,1829,1829,1803,1803,1735,1735
1690,1742,1742,1799,1799,1670,1670,1703,1703,1598,1598,1546,1546,1617,1617,1700,1700
1734,1679,1679,1697,1697,1583,1583,1692,1692,1718,1718,1755,1755,1686,1686,1631,1631
1714,1443,1443,1723,1723,1599,1599,1759,1759,1733,1733,1760,1760,1733,1733,1612,1612
1731,1636,1636,1725,1725,1590,1590,1632,1632,1742,1742,1644,1644,1777,1777,1773,1773
1766,1758,1758,1760,1760,1702,1702,1832,1832,1713,1713,1690,1690,1827,1827,1817,1817
1670,1898,1898,1823,1823,1862,1862,1739,1739,1576,1576,1762,1762,1797,1797,1803,1803
1921,1741,1741,1903,1903,1920,1920,1937,1937,1876,1876,1889,1889,1887,1887,1839,1839
2147,2032,2032,2048,2048,2115,2115,1928,1928,2102,2102,2015,2015,2158,2158,2013,2013
2381,2425,2425,2327,2327,2365,2365,2451,2451,2343,2343,2389,2389,2353,2353,2415,2415
3514,3512,3512,3500,3500,3501,3501,3517,3517,3505,3505,3500,3500,3498,3498,3512,3512
4034,4033,4033,4032,4032,4033,4033,4034,4034,4034,4034,4034,4034,4034,4034,4035,4035
3811,3810,3810,3809,3809,3809,3809,3810,3810,3808,3808,3810,3810,3811,3811,3812,3812
2700,2714,2714,2664,2664,2710,2710,2709,2709,2652,2652,2685,2685,2699,2699,2705,2705
2317,2307,2307,2343,2343,2293,2293,2282,2282,2332,2332,2325,2325,2293,2293,2319,2319
1981,2134,2134,2083,2083,2039,2039,2078,2078,2117,2117,2084,2084,2032,2032,2072,2072
1931,1927,1927,1891,1891,1999,1999,1813,1813,1940,1940,1982,1982,1880,1880,1919,1919
1740,1789,1789,1741,1741,1749,1749,1752,1752,1719,1719,1636,1636,1651,1651,1635,1635
1729,1739,1739,1538,1538,1624,1624,1663,1663,1680,1680,1598,1598,1745,1745,1582,1582
1550,1617,1617,1695,1695,1612,1612,1706,1706,1726,1726,1613,1613,1609,1609,1462,1462
1548,1527,1527,1704,1704,1525,1525,1714,1714,1715,1715,1683,1683,1648,1648,1716,1716
1723,1748,1748,1766,1766,1821,1821,1643,1643,1807,1807,1834,1834,1791,1791,1725,1725
1790,1968,1968,1880,1880,1899,1899,1897,1897,1914,1914,1865,1865,1968,1968,1949,1949
2036,2064,2064,2072,2072,2079,2079,2123,2123,2055,2055,2039,2039,2072,2072,1986,1986
2349,2243,2243,2327,2327,2369,2369,2256,2256,2308,2308,2299,2299,2370,2370,2293,2293
2635,2675,2675,2657,2657,2633,2633,2705,2705,2670,2670,2676,2676,2624,2624,2690,2690
3809,3807,3807,3806,3806,3807,3807,3809,3809,3808,3808,3808,3808,3807,3807,3810,3810
4008,4007,4007,4008,4008,4008,4008,4008,4008,4007,4007,4009,4009,4010,4010,4010,4010
3787,3788,3788,3789,3789,3790,3790,3789,3789,3790,3790,3790,3790,3792,3792,3793,3793
2672,2683,2683,2678,2678,2663,2663,2680,2680,2674,2674,2666,2666,2683,2683,2696,2696
2301,2301,2301,2298,2298,2284,2284,2262,2262,2244,2244,2308,2308,2245,2245,2272,2272
2005,2103,2103,2081,2081,2048,2048,1987,1987,2075,2075,2012,2012,2095,2095,2062,2062
1842,1833,1833,1837,1837,1845,1845,1763,1763,1888,1888,1960,1960,1759,1759,1810,1810
1621,1697,1697,1631,1631,1728,1728,1778,1778,1744,1744,1618,1618,1650,1650,1679,1679
1595,1683,1683,1387,1387,1546,1546,1533,1533,1765,1765,1571,1571,1662,1662,1570,1570
1429,1534,1534,1543,1543,1607,1607,1600,1600,1689,1689,1573,1573,1509,1509,1591,1591
1627,1622,1622,1703,1703,1651,1651,1702,1702,1613,1613,1649,1649,1713,1713,1631,1631
