data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3674,3673,3673,3667,3667,3668,3668,3685,3685,3678,3678,3683,3683,3673,3673,3669,3669
3452,3445,3445,3444,3444,3441,3441,3452,3452,3454,3454,3458,3458,3454,3454,3448,3448
2332,2308,2308,2351,2351,2374,2374,2380,2380,2387,2387,2336,2336,2389,2389,2389,2389
2060,1962,1962,1917,1917,1903,1903,2141,2141,2012,2012,2040,2040,2050,2050,2014,2014
1748,1770,1770,1928,1928,1874,1874,1916,1916,1838,1838,1760,1760,1907,1907,1881,1881
1859,1722,1722,1743,1743,1760,1760,1879,1879,1944,1944,1773,1773,1915,1915,1832,1832
1788,1758,1758,1743,1743,1875,1875,1792,1792,1883,1883,1755,1755,1615,1615,1927,1927
1653,1865,1865,1747,1747,1745,1745,1787,1787,1856,1856,1778,1778,1822,1822,1949,1949
1673,1800,1800,1677,1677,1738,1738,1732,1732,1739,1739,1712,1712,1866,1866,1767,1767
1758,1741,1741,1788,1788,1805,1805,1730,1730,1541,1541,1707,1707,1727,1727,1774,1774
1863,1711,1711,1889,1889,1664,1664,1702,1702,1779,1779,1826,1826,1781,1781,1703,1703
1872,1841,1841,1858,1858,1698,1698,1647,1647,1944,1944,1687,1687,1499,1499,1824,1824
1980,1920,1920,1900,1900,1935,1935,1996,1996,1832,1832,1847,1847,1872,1872,1859,1859
1930,1836,1836,1957,1957,1983,1983,1979,1979,2070,2070,2007,2007,2034,2034,1956,1956
2390,2381,2381,2348,2348,2243,2243,2421,2421,2381,2381,2387,2387,2387,2387,2309,2309
3454,3456,3456,3450,3450,3448,3448,3468,3468,3460,3460,3469,3469,3457,3457,3446,3446
3869,3862,3862,3863,3863,3867,3867,3877,3877,3869,3869,3870,3870,3865,3865,3867,3867
3647,3638,3638,3639,3639,3647,3647,3650,3650,3645,3645,3648,3648,3647,3647,3645,3645
2481,2528,2528,2492,2492,2567,2567,2567,2567,2534,2534,2512,2512,2573,2573,2561,2561
2239,2181,2181,2165,2165,2202,2202,2259,2259,2239,2239,2130,2130,2233,2233,2194,2194
1916,1991,1991,2021,2021,1996,1996,2025,2025,1909,1909,1987,1987,1850,1850,1857,1857
1949,1856,1856,1907,1907,1826,1826,1831,1831,1998,1998,1768,1768,1919,1919,1908,1908
1854,1685,1685,1777,1777,1787,1787,1880,1880,1733,1733,1761,1761,1661,1661,1870,1870
1671,1751,1751,1761,1761,1704,1704,1785,1785,1742,1742,1891,1891,1792,1792,1870,1870
1545,1732,1732,1796,1796,1766,1766,1836,1836,1743,1743,1648,1648,1786,1786,1679,1679
1744,1773,1773,1694,1694,1769,1769,1718,1718,1770,1770,1770,1770,1774,1774,1752,1752
1874,1753,1753,1887,1887,1691,1691,1723,1723,1774,1774,1904,1904,1777,1777,1677,1677
1780,1795,1795,1830,1830,1793,1793,1818,1818,1899,1899,1885,1885,1767,1767,1907,1907
2045,2027,2027,1953,1953,2072,2072,2078,2078,1903,1903,1906,1906,1833,1833,1915,1915
2174,2047,2047,2104,2104,2156,2156,2145,2145,2184,2184,2203,2203,2236,2236,2177,2177
2577,2546,2546,2532,2532,2516,2516,2589,2589,2549,2549,2580,2580,2537,2537,2476,2476
3646,3637,3637,3641,3641,3643,3643,3656,3656,3644,3644,3644,3644,3635,3635,3641,3641
3972,3968,3968,3968,3968,3972,3972,3975,3975,3970,3970,3970,3970,3966,3966,3970,3970
