data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
3663,3664,3664,3662,3662,3667,3667,3672,3672
3440,3432,3432,3428,3428,3442,3442,3447,3447
2323,2280,2280,2323,2323,2383,2383,2377,2377
2058,2087,2087,2153,2153,1984,1984,1966,1966
1851,1733,1733,1914,1914,1853,1853,1946,1946
1829,1815,1815,1692,1692,1624,1624,1758,1758
1730,1875,1875,1791,1791,1655,1655,1429,1429
1795,1816,1816,1699,1699,1719,1719,1712,1712
1740,1885,1885,1678,1678,1855,1855,1830,1830
1779,1826,1826,1815,1815,1619,1619,1821,1821
1616,1673,1673,1875,1875,1764,1764,1721,1721
1799,1724,1724,1864,1864,1783,1783,1776,1776
1876,2000,2000,1866,1866,1936,1936,1815,1815
2089,2076,2076,1897,1897,1996,1996,2035,2035
2394,2372,2372,2362,2362,2343,2343,2358,2358
3440,3446,3446,3443,3443,3447,3447,3453,3453
3869,3866,3866,3868,3868,3872,3872,3872,3872
3647,3641,3641,3642,3642,3648,3648,3647,3647
2542,2507,2507,2557,2557,2550,2550,2524,2524
2208,2164,2164,2230,2230,2204,2204,2186,2186
2018,1943,1943,1789,1789,2003,2003,1989,1989
1863,1789,1789,1807,1807,1691,1691,1839,1839
1659,1839,1839,1912,1912,1745,1745,1596,1596
1845,1720,1720,1790,1790,1756,1756,1696,1696
1822,1865,1865,1627,1627,1810,1810,1754,1754
1639,1857,1857,1710,1710,1616,1616,1720,1720
1575,1657,1657,1805,1805,1729,1729,1734,1734
1925,1806,1806,1875,1875,1729,1729,1833,1833
1984,2061,2061,1973,1973,2018,2018,1985,1985
2189,2014,2014,2108,2108,2212,2212,2168,2168
2567,2528,2528,2530,2530,2538,2538,2465,2465
3647,3641,3641,3646,3646,3647,3647,3646,3646
3970,3967,3967,3970,3970,3970,3970,3969,3969
3747,3747,3747,3746,3746,3749,3749,3746,3746
2633,2640,2640,2631,2631,2634,2634,2603,2603
2263,2259,2259,2289,2289,2271,2271,2259,2259
2060,2052,2052,1896,1896,2032,2032,1934,1934
1840,1761,1761,1860,1860,1745,1745,1883,1883
1558,1861,1861,1768,1768,1719,1719,1736,1736
1787,1723,1723,1591,1591,1607,1607,1509,1509
1725,1700,1700,1643,1643,1665,1665,1697,1697
1634,1785,1785,1650,1650,1574,1574,1721,1721
1626,1691,1691,1780,1780,1799,1799,1765,1765
1938,1960,1960,1876,1876,1802,1802,1786,1786
2077,2067,2067,1998,1998,2087,2087,2003,2003
2263,2258,2258,2254,2254,2281,2281,2260,2260
2656,2600,2600,2599,2599,2650,2650,2605,2605
3749,3744,3744,3745,3745,3745,3745,3747,3747
3966,3965,3965,3965,3965,3967,3967,3967,3967
3752,3751,3751,3749,3749,3752,3752,3752,3752
2640,2626,2626,2547,2547,2631,2631,2604,2604
2231,2282,2282,2279,2279,2234,2234,2284,2284
2067,2079,2079,2014,2014,2099,2099,2000,2000
1722,1815,1815,1924,1924,1658,1658,1825,1825
1548,1737,1737,1837,1837,1762,1762,1792,1792
1657,1661,1661,1609,1609,1596,1596,1470,1470
1658,1727,1727,1696,1696,1527,1527,1715,1715
1583,1703,1703,1629,1629,1485,1485,1701,1701
1644,1613,1613,1765,1765,1797,1797,1837,1837
1888,1836,1836,1734,1734,1888,1888,1766,1766
2051,2048,2048,2037,2037,1985,1985,2006,2006
2230,2266,2266,2260,2260,2288,2288,2290,2290
2647,2607,2607,2631,2631,2633,2633,2617,2617
3746,3743,3743,3744,3744,3744,3744,3743,3743
3941,3940,3940,3940,3940,3940,3940,3941,3941
3722,3721,3721,3721,3721,3722,3722,3722,3722
2593,2583,2583,2585,2585,2594,2594,2578,2578
2204,2232,2232,2179,2179,2147,2147,2227,2227
