data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
3736,3722,3722,3739,3739,3727,3727,3735,3735,3734,3734,3731,3731,3736,3736,3731,3731
3507,3482,3482,3509,3509,3500,3500,3511,3511,3515,3515,3507,3507,3507,3507,3513,3513
2416,2475,2475,2265,2265,2389,2389,2436,2436,2477,2477,2429,2429,2368,2368,2485,2485
2155,2095,2095,2118,2118,2026,2026,2022,2022,2105,2105,2096,2096,2110,2110,2042,2042
1713,1993,1993,1838,1838,1961,1961,1797,1797,1861,1861,1917,1917,1817,1817,2025,2025
1845,1754,1754,1809,1809,1802,1802,1798,1798,1668,1668,1718,1718,1933,1933,1707,1707
1836,1646,1646,1648,1648,1747,1747,1733,1733,1565,1565,1764,1764,1612,1612,1884,1884
1575,1679,1679,1806,1806,1907,1907,1636,1636,1445,1445,1603,1603,1714,1714,1601,1601
1428,1700,1700,1798,1798,1876,1876,1502,1502,1506,1506,1736,1736,1672,1672,1703,1703
1651,1661,1661,1752,1752,1751,1751,1645,1645,1773,1773,1668,1668,1815,1815,1844,1844
1654,1634,1634,1745,1745,1707,1707,1714,1714,1791,1791,1789,1789,1739,1739,1746,1746
1819,1706,1706,1818,1818,1846,1846,1769,1769,1679,1679,1683,1683,1846,1846,1686,1686
1839,1839,1839,1704,1704,1818,1818,1836,1836,1827,1827,1945,1945,1760,1760,1908,1908
2079,2205,2205,2091,2091,1973,1973,2148,2148,2118,2118,2085,2085,2081,2081,2109,2109
2387,2445,2445,2467,2467,2381,2381,2383,2383,2434,2434,2410,2410,2425,2425,2439,2439
3504,3505,3505,3512,3512,3504,3504,3510,3510,3504,3504,3500,3500,3509,3509,3495,3495
4041,4038,4038,4042,4042,4040,4040,4040,4040,4042,4042,4041,4041,4042,4042,4040,4040
3817,3815,3815,3819,3819,3817,3817,3817,3817,3821,3821,3820,3820,3817,3817,3820,3820
2685,2684,2684,2683,2683,2701,2701,2674,2674,2717,2717,2686,2686,2653,2653,2716,2716
2304,2336,2336,2323,2323,2315,2315,2313,2313,2336,2336,2322,2322,2340,2340,2297,2297
2044,2158,2158,2068,2068,2125,2125,2086,2086,2097,2097,2145,2145,2109,2109,2064,2064
1877,1768,1768,1942,1942,1847,1847,1866,1866,1961,1961,1756,1756,1952,1952,1856,1856
1848,1770,1770,1763,1763,1738,1738,1789,1789,1467,1467,1822,1822,1624,1624,1873,1873
1602,1459,1459,1608,1608,1821,1821,1524,1524,1671,1671,1686,1686,1816,1816,1621,1621
1519,1640,1640,1663,1663,1719,1719,1469,1469,1593,1593,1682,1682,1492,1492,1731,1731
1718,1623,1623,1636,1636,1721,1721,1729,1729,1734,1734,1724,1724,1650,1650,1772,1772
1610,1743,1743,1849,1849,1814,1814,1750,1750,1865,1865,1789,1789,1576,1576,1646,1646
1918,1879,1879,1781,1781,1941,1941,1832,1832,1845,1845,1971,1971,1949,1949,1875,1875
2092,2090,2090,2125,2125,2096,2096,2135,2135,2123,2123,2076,2076,2045,2045,2071,2071
2325,2388,2388,2316,2316,2295,2295,2326,2326,2341,2341,2318,2318,2341,2341,2306,2306
2677,2718,2718,2711,2711,2682,2682,2691,2691,2688,2688,2709,2709,2664,2664,2684,2684
3812,3811,3811,3814,3814,3812,3812,3812,3812,3811,3811,3814,3814,3813,3813,3809,3809
4020,4021,4021,4020,4020,4022,4022,4021,4021,4022,4022,4022,4022,4022,4022,4022,4022
3800,3801,3801,3800,3800,3801,3801,3800,3800,3801,3801,3802,3802,3800,3800,3800,3800
2677,2672,2672,2674,2674,2675,2675,2674,2674,2672,2672,2691,2691,2661,2661,2690,2690
2286,2333,2333,2337,2337,2308,2308,2311,2311,2333,2333,2301,2301,2310,2310,2273,2273
1975,2019,2019,2057,2057,2054,2054,2064,2064,2088,2088,2154,2154,2058,2058,2021,2021
1912,1868,1868,1837,1837,1846,1846,1853,1853,1883,1883,1818,1818,1789,1789,1897,1897
1778,1667,1667,1698,1698,1775,1775,1723,1723,1682,1682,1733,1733,1630,1630,1766,1766
1554,1534,1534,1483,1483,1648,1648,1687,1687,1725,1725,1699,1699,1714,1714,1552,1552
1420,1529,1529,1586,1586,1573,1573,1491,1491,1570,1570,1699,1699,1730,1730,1655,1655
1548,1706,1706,1603,1603,1584,1584,1644,1644,1696,1696,1719,1719,1826,1826,1614,1614
1614,1674,1674,1852,1852,1804,1804,1752,1752,1792,1792,1694,1694,1715,1715,1680,1680
1830,1912,1912,1787,1787,1843,1843,1801,1801,1787,1787,1925,1925,1940,1940,1822,1822
2075,2090,2090,2093,2093,2044,2044,2135,2135,2051,2051,2029,2029,2018,2018,2085,2085
2280,2276,2276,2281,2281,2300,2300,2282,2282,2301,2301,2290,2290,2295,2295,2255,2255
2694,2701,2701,2691,2691,2681,2681,2659,2659,2673,2673,2673,2673,2678,2678,2681,2681
3809,3810,3810,3809,3809,3808,3808,3808,3808,3807,3807,3809,3809,3808,3808,3809,3809
3835,3836,3836,3836,3836,3835,3835,3835,3835,3837,3837,3835,3835,3837,3837,3838,3838
3606,3611,3611,3609,3609,3608,3608,3609,3609,3609,3609,3608,3608,3610,3610,3610,3610
2467,2500,2500,2477,2477,2481,2481,2495,2495,2495,2495,2488,2488,2489,2489,2494,2494
2134,2115,2115,2053,2053,2148,2148,2081,2081,2108,2108,2080,2080,2121,2121,2058,2058
1785,1753,1753,1827,1827,1883,1883,1862,1862,1835,1835,1809,1809,1871,1871,1832,1832
1769,1657,1657,1613,1613,1726,1726,1703,1703,1650,1650,1768,1768,1722,1722,1659,1659
1606,1673,1673,1661,1661,1571,1571,1681,1681,1596,1596,1573,1573,1723,1723,1576,1576
1449,1565,1565,1677,1677,1475,1475,1559,1559,1543,1543,1500,1500,1708,1708,1575,1575
1431,1580,1580,1651,1651,1496,1496,1596,1596,1528,1528,1631,1631,1787,1787,1654,1654
1460,1507,1507,1601,1601,1589,1589,1599,1599,1633,1633,1657,1657,1828,1828,1541,1541
1523,1502,1502,1731,1731,1630,1630,1614,1614,1784,1784,1577,1577,1800,1800,1588,1588
1653,1645,1645,1714,1714,1671,1671,1691,1691,1521,1521,1751,1751,1504,1504,1603,1603
1861,1822,1822,1806,1806,1898,1898,1957,1957,1896,1896,1748,1748,1854,1854,1833,1833
