data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18
3625,3625,3601,3601,3593,3593,3612,3612,3617,3617,3612,3612,3627,3627,3614,3614,3615,3615
3398,3398,3361,3361,3356,3356,3385,3385,3386,3386,3390,3390,3404,3404,3357,3357,3396,3396
2345,2345,2306,2306,2375,2375,2299,2299,2316,2316,2367,2367,2366,2366,2389,2389,2382,2382
2009,2009,1986,1986,2062,2062,1912,1912,2024,2024,2049,2049,2072,2072,2003,2003,2014,2014
1941,1941,1854,1854,1741,1741,1890,1890,1881,1881,1790,1790,1877,1877,1768,1768,1693,1693
1802,1802,1979,1979,1744,1744,1825,1825,1761,1761,1829,1829,1825,1825,1873,1873,1899,1899
1725,1725,1797,1797,1674,1674,1880,1880,1826,1826,1588,1588,1625,1625,1725,1725,1833,1833
1678,1678,1674,1674,1780,1780,1864,1864,1772,1772,1547,1547,1586,1586,1701,1701,1867,1867
1743,1743,1739,1739,1751,1751,1762,1762,1760,1760,1720,1720,1658,1658,1702,1702,1691,1691
1757,1757,1821,1821,1800,1800,1727,1727,1852,1852,1758,1758,1665,1665,1780,1780,1703,1703
1782,1782,1698,1698,1835,1835,1687,1687,1729,1729,1693,1693,1765,1765,1796,1796,1642,1642
1755,1755,1783,1783,1775,1775,1834,1834,1673,1673,1919,1919,1915,1915,1750,1750,1718,1718
1629,1629,1905,1905,1957,1957,1818,1818,1825,1825,1798,1798,1916,1916,2004,2004,1802,1802
2018,2018,2079,2079,2006,2006,1994,1994,1919,1919,1986,1986,1986,1986,1911,1911,1936,1936
2357,2357,2316,2316,2304,2304,2365,2365,2276,2276,2360,2360,2342,2342,2383,2383,2331,2331
3403,3403,3388,3388,3360,3360,3394,3394,3390,3390,3384,3384,3416,3416,3409,3409,3397,3397
3853,3853,3853,3853,3851,3851,3855,3855,3847,3847,3854,3854,3852,3852,3855,3855,3857,3857
3630,3630,3627,3627,3628,3628,3633,3633,3623,3623,3631,3631,3624,3624,3631,3631,3639,3639
2520,2520,2481,2481,2501,2501,2512,2512,2505,2505,2535,2535,2546,2546,2549,2549,2573,2573
2200,2200,2177,2177,2207,2207,2153,2153,2191,2191,2196,2196,2174,2174,2105,2105,2122,2122
1972,1972,1944,1944,1937,1937,1861,1861,1885,1885,1892,1892,1974,1974,1977,1977,1858,1858
1780,1780,1952,1952,1828,1828,1882,1882,1809,1809,1958,1958,1922,1922,1786,1786,1885,1885
1786,1786,1762,1762,1709,1709,1843,1843,1901,1901,1674,1674,1538,1538,1721,1721,1806,1806
1682,1682,1748,1748,1850,1850,1854,1854,1775,1775,1564,1564,1646,1646,1698,1698,1782,1782
1765,1765,1711,1711,1843,1843,1739,1739,1715,1715,1708,1708,1586,1586,1618,1618,1787,1787
1724,1724,1733,1733,1670,1670,1635,1635,1834,1834,1817,1817,1692,1692,1804,1804,1635,1635
1767,1767,1652,1652,1809,1809,1735,1735,1768,1768,1561,1561,1709,1709,1746,1746,1562,1562
1935,1935,1700,1700,1800,1800,1783,1783,1752,1752,1931,1931,1998,1998,1845,1845,1764,1764
1818,1818,1973,1973,2057,2057,1892,1892,2015,2015,1937,1937,1988,1988,2063,2063,1977,1977
2155,2155,2221,2221,2210,2210,2163,2163,2185,2185,2194,2194,2208,2208,2107,2107,2132,2132
2443,2443,2505,2505,2531,2531,2562,2562,2427,2427,2534,2534,2524,2524,2570,2570,2498,2498
3627,3627,3629,3629,3623,3623,3636,3636,3622,3622,3628,3628,3632,3632,3637,3637,3633,3633
3956,3956,3957,3957,3954,3954,3958,3958,3954,3954,3956,3956,3956,3956,3958,3958,3958,3958
3732,3732,3732,3732,3731,3731,3733,3733,3730,3730,3733,3733,3731,3731,3734,3734,3738,3738
2605,2605,2598,2598,2577,2577,2617,2617,2627,2627,2621,2621,2599,2599,2634,2634,2649,2649
2266,2266,2235,2235,2274,2274,2276,2276,2282,2282,2230,2230,2254,2254,2234,2234,2153,2153
1993,1993,1992,1992,2046,2046,2016,2016,1973,1973,1992,1992,2016,2016,2083,2083,2022,2022
1702,1702,1821,1821,1824,1824,1909,1909,1826,1826,1959,1959,1985,1985,1900,1900,1835,1835
1746,1746,1749,1749,1672,1672,1813,1813,1842,1842,1716,1716,1676,1676,1828,1828,1712,1712
1639,1639,1569,1569,1810,1810,1785,1785,1718,1718,1703,1703,1701,1701,1657,1657,1655,1655
1678,1678,1655,1655,1816,1816,1647,1647,1728,1728,1747,1747,1556,1556,1686,1686,1607,1607
1703,1703,1744,1744,1827,1827,1628,1628,1724,1724,1748,1748,1571,1571,1807,1807,1588,1588
1850,1850,1793,1793,1791,1791,1709,1709,1852,1852,1689,1689,1545,1545,1751,1751,1680,1680
1898,1898,1861,1861,1904,1904,1901,1901,1818,1818,1968,1968,1928,1928,1866,1866,1700,1700
1980,1980,2052,2052,2089,2089,1942,1942,2092,2092,2015,2015,2009,2009,2116,2116,2057,2057
2218,2218,2289,2289,2283,2283,2224,2224,2229,2229,2292,2292,2237,2237,2189,2189,2205,2205
2582,2582,2600,2600,2622,2622,2651,2651,2592,2592,2598,2598,2633,2633,2667,2667,2612,2612
3732,3732,3731,3731,3728,3728,3736,3736,3728,3728,3731,3731,3732,3732,3739,3739,3733,3733
3952,3952,3951,3951,3950,3950,3952,3952,3951,3951,3952,3952,3953,3953,3953,3953,3952,3952
3732,3732,3735,3735,3733,3733,3734,3734,3732,3732,3733,3733,3733,3733,3732,3732,3730,3730
2526,2526,2627,2627,2610,2610,2612,2612,2621,2621,2609,2609,2587,2587,2581,2581,2604,2604
2262,2262,2260,2260,2205,2205,2270,2270,2290,2290,2260,2260,2216,2216,2219,2219,2175,2175
2012,2012,2013,2013,2029,2029,1990,1990,1982,1982,2064,2064,1894,1894,1943,1943,2027,2027
1775,1775,1838,1838,1809,1809,1958,1958,1847,1847,1880,1880,1957,1957,1969,1969,1896,1896
1617,1617,1590,1590,1706,1706,1570,1570,1649,1649,1593,1593,1688,1688,1692,1692,1596,1596
1587,1587,1670,1670,1748,1748,1674,1674,1592,1592,1621,1621,1748,1748,1656,1656,1561,1561
1702,1702,1693,1693,1805,1805,1658,1658,1736,1736,1619,1619,1487,1487,1687,1687,1529,1529
1651,1651,1665,1665,1823,1823,1721,1721,1752,1752,1550,1550,1544,1544,1768,1768,1519,1519
1761,1761,1819,1819,1691,1691,1676,1676,1672,1672,1477,1477,1609,1609,1762,1762,1658,1658
1955,1955,1777,1777,1926,1926,1858,1858,1852,1852,1873,1873,1882,1882,1843,1843,1755,1755
1968,1968,2035,2035,2064,2064,1986,1986,2109,2109,1955,1955,1961,1961,2097,2097,2063,2063
2221,2221,2253,2253,2279,2279,2270,2270,2157,2157,2256,2256,2258,2258,2221,2221,2179,2179
2620,2620,2595,2595,2591,2591,2613,2613,2570,2570,2583,2583,2609,2609,2649,2649,2619,2619
