data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3638,3634,3634,3638,3638,3636,3636,3624,3624,3626,3626,3638,3638,3640,3640,3646,3646
3411,3401,3401,3410,3410,3406,3406,3394,3394,3398,3398,3402,3402,3403,3403,3418,3418
2395,2256,2256,2271,2271,2313,2313,2300,2300,2350,2350,2299,2299,2304,2304,2394,2394
1795,2081,2081,2101,2101,2104,2104,2027,2027,1925,1925,2107,2107,2050,2050,1959,1959
2011,1685,1685,1833,1833,1797,1797,1783,1783,1891,1891,1801,1801,1870,1870,1849,1849
1674,1832,1832,1801,1801,1710,1710,1851,1851,1744,1744,1671,1671,1775,1775,1774,1774
1897,1761,1761,1737,1737,1527,1527,1745,1745,1705,1705,1648,1648,1749,1749,1836,1836
1781,1693,1693,1783,1783,1679,1679,1723,1723,1726,1726,1801,1801,1823,1823,1692,1692
1617,1616,1616,1778,1778,1721,1721,1785,1785,1703,1703,1834,1834,1724,1724,1760,1760
1664,1808,1808,1650,1650,1777,1777,1812,1812,1797,1797,1740,1740,1760,1760,1696,1696
1779,1748,1748,1721,1721,1809,1809,1748,1748,1814,1814,1844,1844,1783,1783,1611,1611
1764,1750,1750,1857,1857,1815,1815,1726,1726,1904,1904,1688,1688,1791,1791,1643,1643
1922,1793,1793,1878,1878,1866,1866,1841,1841,1925,1925,1980,1980,1938,1938,1888,1888
1954,2040,2040,1927,1927,2018,2018,1893,1893,2032,2032,2000,2000,1953,1953,1981,1981
2281,2381,2381,2326,2326,2309,2309,2325,2325,2317,2317,2309,2309,2277,2277,2338,2338
3418,3424,3424,3414,3414,3415,3415,3395,3395,3403,3403,3421,3421,3427,3427,3422,3422
3863,3857,3857,3857,3857,3863,3863,3852,3852,3859,3859,3859,3859,3857,3857,3860,3860
3641,3635,3635,3633,3633,3640,3640,3633,3633,3638,3638,3637,3637,3631,3631,3635,3635
2566,2513,2513,2528,2528,2534,2534,2528,2528,2513,2513,2524,2524,2498,2498,2552,2552
2057,2216,2216,2219,2219,2228,2228,2194,2194,2050,2050,2213,2213,2254,2254,2146,2146
2103,1865,1865,1955,1955,1881,1881,1985,1985,2020,2020,1940,1940,1886,1886,1953,1953
1742,1927,1927,1898,1898,1807,1807,1939,1939,1878,1878,1732,1732,1945,1945,1809,1809
1770,1764,1764,1782,1782,1759,1759,1715,1715,1604,1604,1781,1781,1697,1697,1737,1737
1511,1617,1617,1830,1830,1797,1797,1594,1594,1775,1775,1777,1777,1799,1799,1754,1754
1673,1564,1564,1724,1724,1631,1631,1686,1686,1755,1755,1850,1850,1558,1558,1650,1650
1689,1799,1799,1739,1739,1880,1880,1765,1765,1802,1802,1738,1738,1733,1733,1727,1727
1770,1740,1740,1855,1855,1891,1891,1794,1794,1830,1830,1805,1805,1868,1868,1700,1700
1766,1895,1895,1864,1864,1887,1887,1504,1504,1768,1768,1596,1596,1861,1861,1671,1671
1990,1872,1872,2053,2053,1945,1945,2018,2018,2019,2019,2013,2013,1985,1985,1979,1979
2104,2225,2225,2099,2099,2188,2188,2124,2124,2105,2105,2183,2183,2132,2132,2207,2207
2532,2535,2535,2542,2542,2528,2528,2515,2515,2511,2511,2533,2533,2533,2533,2493,2493
3640,3637,3637,3638,3638,3642,3642,3626,3626,3635,3635,3638,3638,3638,3638,3634,3634
3962,3961,3961,3962,3962,3963,3963,3958,3958,3960,3960,3960,3960,3959,3959,3960,3960
3740,3737,3737,3736,3736,3738,3738,3738,3738,3738,3738,3740,3740,3735,3735,3737,3737
2632,2634,2634,2628,2628,2621,2621,2624,2624,2610,2610,2625,2625,2597,2597,2632,2632
2183,2275,2275,2264,2264,2301,2301,2283,2283,2199,2199,2283,2283,2312,2312,2221,2221
2097,2007,2007,1999,1999,1982,1982,2021,2021,2037,2037,2044,2044,1968,1968,2016,2016
