data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
3958,3957,3957,3958,3958,3959,3959,3957,3957,3958,3958,3957,3957,3957,3957,3956,3956
3741,3739,3739,3741,3741,3744,3744,3742,3742,3741,3741,3741,3741,3740,3740,3738,3738
2604,2601,2601,2596,2596,2632,2632,2602,2602,2630,2630,2661,2661,2599,2599,2609,2609
2238,2256,2256,2282,2282,2234,2234,2263,2263,2243,2243,2178,2178,2251,2251,2256,2256
2052,1972,1972,2003,2003,1986,1986,2045,2045,2024,2024,2048,2048,2114,2114,2101,2101
1987,1910,1910,1845,1845,1866,1866,1816,1816,1926,1926,1836,1836,1901,1901,1912,1912
1796,1797,1797,1852,1852,1901,1901,1809,1809,1747,1747,1882,1882,1820,1820,2013,2013
1749,1766,1766,1880,1880,1741,1741,1796,1796,1622,1622,1833,1833,1706,1706,1870,1870
1768,1892,1892,1816,1816,1771,1771,1766,1766,1666,1666,1813,1813,1747,1747,1749,1749
1900,1880,1880,1765,1765,1861,1861,1736,1736,1761,1761,1818,1818,1785,1785,1785,1785
1950,1775,1775,1769,1769,1956,1956,1845,1845,1793,1793,1614,1614,1750,1750,1729,1729
1933,1849,1849,1904,1904,2007,2007,1949,1949,1890,1890,1876,1876,1940,1940,1792,1792
2062,1964,1964,1915,1915,2080,2080,1989,1989,2053,2053,2040,2040,1967,1967,1869,1869
2203,2286,2286,2249,2249,2263,2263,2270,2270,2113,2113,2244,2244,2224,2224,2201,2201
2634,2607,2607,2604,2604,2610,2610,2593,2593,2650,2650,2612,2612,2598,2598,2623,2623
3735,3730,3730,3733,3733,3732,3732,3731,3731,3733,3733,3729,3729,3730,3730,3728,3728
4265,4264,4264,4264,4264,4264,4264,4264,4264,4263,4263,4265,4265,4263,4263,4263,4263
4038,4036,4036,4037,4037,4037,4037,4036,4036,4037,4037,4037,4037,4037,4037,4037,4037
2896,2913,2913,2903,2903,2918,2918,2898,2898,2907,2907,2926,2926,2904,2904,2909,2909
2539,2493,2493,2543,2543,2515,2515,2544,2544,2528,2528,2463,2463,2543,2543,2529,2529
2270,2284,2284,2268,2268,2262,2262,2209,2209,2247,2247,2285,2285,2261,2261,2250,2250
2163,2123,2123,2027,2027,1987,1987,1982,1982,1943,1943,2095,2095,2129,2129,1970,1970
1911,1811,1811,1778,1778,1985,1985,1935,1935,1930,1930,1991,1991,1691,1691,2000,2000
1874,1612,1612,1705,1705,1761,1761,1721,1721,1815,1815,1738,1738,1805,1805,1674,1674
1783,1683,1683,1705,1705,1753,1753,1556,1556,1649,1649,1696,1696,1720,1720,1652,1652
1846,1828,1828,1802,1802,1658,1658,1646,1646,1821,1821,1879,1879,1916,1916,1800,1800
2042,1876,1876,1919,1919,1846,1846,1891,1891,1792,1792,1875,1875,1734,1734,1885,1885
2043,2111,2111,2022,2022,2142,2142,2067,2067,2176,2176,2110,2110,2102,2102,2067,2067
2222,2192,2192,2226,2226,2185,2185,2296,2296,2208,2208,2244,2244,2245,2245,2250,2250
2533,2561,2561,2556,2556,2547,2547,2517,2517,2516,2516,2539,2539,2535,2535,2510,2510
2915,2898,2898,2898,2898,2904,2904,2901,2901,2916,2916,2912,2912,2904,2904,2917,2917
4042,4041,4041,4040,4040,4041,4041,4040,4040,4041,4041,4042,4042,4040,4040,4040,4040
4146,4146,4146,4147,4147,4146,4146,4146,4146,4146,4146,4147,4147,4147,4147,4146,4146
3930,3930,3930,3931,3931,3930,3930,3928,3928,3929,3929,3930,3930,3929,3929,3930,3930
2810,2808,2808,2809,2809,2804,2804,2789,2789,2797,2797,2809,2809,2799,2799,2805,2805
2394,2379,2379,2406,2406,2410,2410,2413,2413,2428,2428,2414,2414,2445,2445,2411,2411
2127,2174,2174,2175,2175,2176,2176,2111,2111,2130,2130,2151,2151,2092,2092,2138,2138
2000,1973,1973,2056,2056,1970,1970,1972,1972,1973,1973,1938,1938,2024,2024,1969,1969
1721,1792,1792,1567,1567,1581,1581,1883,1883,1812,1812,1761,1761,1715,1715,1942,1942
1684,1691,1691,1734,1734,1810,1810,1719,1719,1770,1770,1711,1711,1755,1755,1715,1715
1581,1718,1718,1695,1695,1669,1669,1707,1707,1459,1459,1715,1715,1679,1679,1641,1641
1696,1696,1696,1670,1670,1703,1703,1657,1657,1783,1783,1707,1707,1826,1826,1538,1538
1888,1783,1783,1784,1784,1816,1816,1809,1809,1844,1844,1817,1817,1750,1750,1739,1739
1962,1992,1992,1961,1961,2044,2044,1946,1946,2022,2022,1879,1879,1962,1962,1937,1937
2080,2221,2221,2168,2168,2134,2134,2208,2208,2155,2155,2162,2162,2095,2095,2136,2136
2429,2441,2441,2438,2438,2413,2413,2401,2401,2394,2394,2434,2434,2436,2436,2414,2414
2807,2789,2789,2785,2785,2804,2804,2799,2799,2807,2807,2799,2799,2800,2800,2807,2807
3930,3928,3928,3927,3927,3928,3928,3927,3927,3927,3927,3928,3928,3928,3928,3928,3928
3801,3797,3797,3799,3799,3799,3799,3796,3796,3797,3797,3798,3798,3797,3797,3797,3797
3586,3585,3585,3586,3586,3584,3584,3582,3582,3584,3584,3585,3585,3583,3583,3586,3586
2482,2502,2502,2495,2495,2442,2442,2470,2470,2436,2436,2477,2477,2463,2463,2516,2516
2069,2072,2072,2091,2091,2121,2121,2046,2046,2073,2073,2030,2030,2109,2109,2054,2054
1872,1827,1827,1804,1804,1913,1913,1910,1910,1897,1897,1875,1875,1769,1769,1852,1852
1718,1880,1880,1917,1917,1791,1791,1692,1692,1726,1726,1733,1733,1733,1733,1782,1782
1663,1605,1605,1672,1672,1751,1751,1759,1759,1802,1802,1737,1737,1565,1565,1860,1860
1615,1683,1683,1712,1712,1770,1770,1633,1633,1681,1681,1734,1734,1600,1600,1697,1697
1500,1778,1778,1724,1724,1731,1731,1596,1596,1563,1563,1732,1732,1754,1754,1694,1694
1597,1766,1766,1887,1887,1749,1749,1459,1459,1780,1780,1582,1582,1716,1716,1579,1579
1663,1441,1441,1794,1794,1791,1791,1647,1647,1694,1694,1777,1777,1752,1752,1796,1796
1851,1802,1802,1864,1864,1802,1802,1703,1703,1824,1824,1769,1769,1808,1808,1783,1783
2010,1953,1953,2007,2007,1966,1966,1929,1929,1946,1946,1863,1863,1798,1798,1911,1911
2070,2102,2102,2090,2090,2111,2111,2076,2076,2090,2090,1950,1950,2140,2140,2158,2158
2481,2463,2463,2437,2437,2472,2472,2411,2411,2414,2414,2458,2458,2449,2449,2388,2388
3582,3581,3581,3581,3581,3581,3581,3578,3578,3579,3579,3579,3579,3581,3581,3580,3580
3576,3575,3575,3576,3576,3578,3578,3577,3577,3576,3576,3575,3575,3576,3576,3574,3574
3353,3351,3351,3350,3350,3350,3350,3353,3353,3352,3352,3353,3353,3352,3352,3349,3349
2265,2239,2239,2237,2237,2168,2168,2218,2218,2224,2224,2216,2216,2243,2243,2263,2263
1860,1882,1882,2016,2016,1926,1926,1969,1969,1925,1925,1883,1883,1953,1953,1854,1854
1828,1821,1821,1879,1879,1938,1938,1827,1827,1669,1669,1754,1754,1751,1751,1782,1782
1717,1756,1756,1739,1739,1616,1616,1679,1679,1696,1696,1613,1613,1756,1756,1709,1709
1661,1583,1583,1716,1716,1643,1643,1564,1564,1839,1839,1848,1848,1724,1724,1684,1684
1754,1605,1605,1736,1736,1697,1697,1569,1569,1867,1867,1827,1827,1698,1698,1727,1727
1657,1727,1727,1783,1783,1635,1635,1724,1724,1666,1666,1720,1720,1658,1658,1849,1849
1785,1717,1717,1816,1816,1569,1569,1772,1772,1762,1762,1569,1569,1840,1840,1775,1775
1825,1750,1750,1720,1720,1763,1763,1687,1687,1771,1771,1681,1681,1842,1842,1634,1634
1765,1696,1696,1769,1769,1680,1680,1728,1728,1784,1784,1787,1787,1754,1754,1656,1656
1831,1754,1754,1850,1850,1720,1720,1743,1743,1853,1853,1716,1716,1743,1743,1820,1820
1895,1927,1927,1924,1924,1931,1931,1932,1932,1742,1742,1717,1717,2005,2005,1930,1930
2231,2174,2174,2238,2238,2224,2224,2211,2211,2297,2297,2235,2235,2234,2234,2237,2237
3358,3355,3355,3357,3357,3359,3359,3358,3358,3361,3361,3355,3355,3357,3357,3355,3355
3029,3020,3020,3021,3021,3036,3036,3033,3033,3022,3022,3033,3033,3032,3032,3022,3022
2812,2787,2787,2795,2795,2815,2815,2798,2798,2796,2796,2808,2808,2803,2803,2794,2794
1651,1788,1788,1883,1883,1775,1775,1784,1784,1735,1735,1782,1782,1666,1666,1791,1791
1505,1673,1673,1909,1909,1739,1739,1761,1761,1750,1750,1776,1776,1735,1735,1650,1650
1736,1718,1718,1846,1846,1738,1738,1645,1645,1760,1760,1651,1651,1799,1799,1809,1809
1634,1704,1704,1798,1798,1563,1563,1683,1683,1746,1746,1557,1557,1829,1829,1700,1700
1721,1766,1766,1810,1810,1721,1721,1664,1664,1920,1920,1721,1721,1802,1802,1671,1671
1665,1715,1715,1575,1575,1786,1786,1620,1620,1965,1965,1827,1827,1874,1874,1823,1823
