data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
3956,3954,3954,3954,3954,3955,3955,3955,3955,3952,3952,3953,3953,3954,3954,3955,3955
3739,3740,3740,3738,3738,3741,3741,3739,3739,3738,3738,3737,3737,3740,3740,3738,3738
2585,2652,2652,2618,2618,2611,2611,2632,2632,2625,2625,2616,2616,2607,2607,2595,2595
2161,2204,2204,2190,2190,2281,2281,2257,2257,2260,2260,2243,2243,2260,2260,2157,2157
2122,1991,1991,2104,2104,2011,2011,2034,2034,1931,1931,2063,2063,1885,1885,2060,2060
1912,1848,1848,1941,1941,1889,1889,1809,1809,1967,1967,1808,1808,1914,1914,1922,1922
1794,1849,1849,1751,1751,1976,1976,1656,1656,1722,1722,1877,1877,1778,1778,1635,1635
1560,1770,1770,1726,1726,1729,1729,1799,1799,1601,1601,1765,1765,1755,1755,1726,1726
1727,1827,1827,1709,1709,1525,1525,1746,1746,1702,1702,1761,1761,1660,1660,1762,1762
1778,1792,1792,1826,1826,1580,1580,1757,1757,1701,1701,1720,1720,1633,1633,1796,1796
1817,1899,1899,1919,1919,1840,1840,1934,1934,1834,1834,1823,1823,1776,1776,1986,1986
1932,1904,1904,1590,1590,1901,1901,1902,1902,1881,1881,1889,1889,1889,1889,1830,1830
2035,1893,1893,2077,2077,2030,2030,2111,2111,1978,1978,2051,2051,1987,1987,1989,1989
2198,2260,2260,2180,2180,2258,2258,2126,2126,2233,2233,2132,2132,2254,2254,2222,2222
2624,2621,2621,2616,2616,2562,2562,2630,2630,2621,2621,2608,2608,2604,2604,2616,2616
3730,3728,3728,3726,3726,3728,3728,3729,3729,3727,3727,3726,3726,3728,3728,3731,3731
4266,4262,4262,4262,4262,4264,4264,4261,4261,4261,4261,4263,4263,4262,4262,4264,4264
4035,4035,4035,4034,4034,4036,4036,4035,4035,4034,4034,4034,4034,4035,4035,4035,4035
2899,2913,2913,2896,2896,2905,2905,2905,2905,2910,2910,2895,2895,2905,2905,2910,2910
2506,2514,2514,2515,2515,2514,2514,2525,2525,2508,2508,2539,2539,2526,2526,2492,2492
2324,2290,2290,2273,2273,2282,2282,2274,2274,2264,2264,2329,2329,2271,2271,2311,2311
2046,1998,1998,2073,2073,2084,2084,2026,2026,2081,2081,1935,1935,2101,2101,2057,2057
1912,1917,1917,1913,1913,1985,1985,1729,1729,1899,1899,1981,1981,1893,1893,1828,1828
1592,1811,1811,1800,1800,1737,1737,1835,1835,1750,1750,1830,1830,1787,1787,1815,1815
1635,1750,1750,1611,1611,1662,1662,1652,1652,1629,1629,1813,1813,1633,1633,1714,1714
1680,1773,1773,1806,1806,1774,1774,1696,1696,1781,1781,1812,1812,1655,1655,1734,1734
1979,2000,2000,2028,2028,2016,2016,2018,2018,1789,1789,1909,1909,1916,1916,1975,1975
2047,1923,1923,1918,1918,2004,2004,1949,1949,2084,2084,2018,2018,2103,2103,2020,2020
2299,2244,2244,2343,2343,2248,2248,2326,2326,2258,2258,2271,2271,2277,2277,2282,2282
2533,2537,2537,2474,2474,2529,2529,2490,2490,2508,2508,2505,2505,2522,2522,2507,2507
2904,2909,2909,2916,2916,2900,2900,2913,2913,2911,2911,2913,2913,2912,2912,2915,2915
4039,4039,4039,4038,4038,4038,4038,4038,4038,4039,4039,4038,4038,4038,4038,4040,4040
4144,4144,4144,4143,4143,4144,4144,4144,4144,4144,4144,4144,4144,4144,4144,4144,4144
3928,3927,3927,3927,3927,3928,3928,3927,3927,3927,3927,3927,3927,3927,3927,3927,3927
2797,2788,2788,2807,2807,2809,2809,2795,2795,2805,2805,2791,2791,2811,2811,2799,2799
2402,2413,2413,2367,2367,2396,2396,2439,2439,2415,2415,2415,2415,2398,2398,2384,2384
2176,2163,2163,2197,2197,2154,2154,2076,2076,2150,2150,2160,2160,2135,2135,2208,2208
2003,1867,1867,1938,1938,1930,1930,2019,2019,2014,2014,1861,1861,1951,1951,1862,1862
1716,1842,1842,1844,1844,1910,1910,1556,1556,1755,1755,1808,1808,1823,1823,1724,1724
