data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
3938,3937,3937,3942,3942,3936,3936,3939,3939,3934,3934,3937,3937,3937,3937,3936,3936
3722,3719,3719,3721,3721,3718,3718,3720,3720,3715,3715,3718,3718,3719,3719,3718,3718
2596,2594,2594,2582,2582,2583,2583,2615,2615,2562,2562,2593,2593,2598,2598,2575,2575
2172,2197,2197,2258,2258,2193,2193,2186,2186,2183,2183,2216,2216,2203,2203,2297,2297
2084,1889,1889,1960,1960,2018,2018,2024,2024,2066,2066,1979,1979,1959,1959,1910,1910
1846,1859,1859,1952,1952,1902,1902,1897,1897,1821,1821,1790,1790,1967,1967,2041,2041
1883,1893,1893,1722,1722,1863,1863,1812,1812,1819,1819,1766,1766,1791,1791,1662,1662
1669,1798,1798,1683,1683,1710,1710,1671,1671,1776,1776,1754,1754,1666,1666,1837,1837
1552,1748,1748,1663,1663,1728,1728,1713,1713,1869,1869,1844,1844,1678,1678,1712,1712
1631,1768,1768,1719,1719,1738,1738,1690,1690,1827,1827,1795,1795,1622,1622,1819,1819
1801,1558,1558,1872,1872,1769,1769,1866,1866,1800,1800,1804,1804,1803,1803,1827,1827
1672,1953,1953,1971,1971,1878,1878,1947,1947,1803,1803,1838,1838,1766,1766,1914,1914
1976,1908,1908,1943,1943,2038,2038,2063,2063,1946,1946,1991,1991,2060,2060,2065,2065
2171,2226,2226,2125,2125,2161,2161,2237,2237,2229,2229,2182,2182,2171,2171,2211,2211
2574,2564,2564,2621,2621,2595,2595,2604,2604,2611,2611,2543,2543,2622,2622,2550,2550
3700,3702,3702,3706,3706,3700,3700,3704,3704,3701,3701,3702,3702,3702,3702,3700,3700
4246,4244,4244,4246,4246,4245,4245,4244,4244,4244,4244,4244,4244,4246,4246,4243,4243
4011,4011,4011,4012,4012,4011,4011,4012,4012,4010,4010,4012,4012,4011,4011,4011,4011
2890,2884,2884,2866,2866,2882,2882,2888,2888,2872,2872,2884,2884,2883,2883,2880,2880
2500,2512,2512,2541,2541,2508,2508,2485,2485,2492,2492,2509,2509,2499,2499,2490,2490
2281,2209,2209,2208,2208,2258,2258,2267,2267,2275,2275,2242,2242,2255,2255,2269,2269
1968,2105,2105,2050,2050,2026,2026,2039,2039,2015,2015,2021,2021,2015,2015,2142,2142
1933,1874,1874,1800,1800,1828,1828,1990,1990,1956,1956,1955,1955,1863,1863,1913,1913
1761,1776,1776,1775,1775,1796,1796,1631,1631,1731,1731,1767,1767,1702,1702,1829,1829
1501,1775,1775,1685,1685,1787,1787,1676,1676,1804,1804,1696,1696,1577,1577,1767,1767
1633,1687,1687,1696,1696,1861,1861,1686,1686,1811,1811,1768,1768,1515,1515,1868,1868
1840,1846,1846,1933,1933,1903,1903,1893,1893,1936,1936,1896,1896,1898,1898,1815,1815
2037,2067,2067,2143,2143,2024,2024,2012,2012,2033,2033,2054,2054,2007,2007,2095,2095
2254,2286,2286,2252,2252,2256,2256,2232,2232,2248,2248,2282,2282,2265,2265,2183,2183
2477,2485,2485,2485,2485,2487,2487,2524,2524,2501,2501,2496,2496,2473,2473,2521,2521
2890,2877,2877,2889,2889,2886,2886,2887,2887,2895,2895,2885,2885,2899,2899,2877,2877
4021,4018,4018,4021,4021,4019,4019,4020,4020,4019,4019,4021,4021,4020,4020,4020,4020
4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,4126,4127,4127,4126,4126
3909,3907,3907,3906,3906,3905,3905,3905,3905,3905,3905,3904,3904,3905,3905,3904,3904
2779,2780,2780,2779,2779,2774,2774,2787,2787,2778,2778,2780,2780,2778,2778,2773,2773
2391,2386,2386,2404,2404,2419,2419,2351,2351,2388,2388,2376,2376,2354,2354,2373,2373
2136,2160,2160,2133,2133,2099,2099,2160,2160,2142,2142,2167,2167,2156,2156,2179,2179
1941,1985,1985,1911,1911,1978,1978,1869,1869,1910,1910,1799,1799,1894,1894,1883,1883
1857,1803,1803,1864,1864,1854,1854,1918,1918,1774,1774,1825,1825,1858,1858,1848,1848
1723,1731,1731,1745,1745,1763,1763,1586,1586,1654,1654,1645,1645,1698,1698,1620,1620
1708,1772,1772,1715,1715,1607,1607,1593,1593,1794,1794,1475,1475,1563,1563,1543,1543
1531,1635,1635,1622,1622,1639,1639,1646,1646,1712,1712,1722,1722,1595,1595,1701,1701
