data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
3938,3935,3935,3935,3935,3935,3935,3935,3935,3941,3941,3937,3937,3940,3940,3936,3936
3723,3719,3719,3719,3719,3716,3716,3719,3719,3723,3723,3721,3721,3723,3723,3720,3720
2587,2585,2585,2593,2593,2561,2561,2609,2609,2588,2588,2599,2599,2593,2593,2588,2588
2245,2181,2181,2268,2268,2242,2242,2225,2225,2204,2204,2258,2258,2263,2263,2165,2165
2052,2041,2041,2007,2007,1867,1867,1939,1939,2015,2015,1903,1903,1934,1934,2032,2032
1932,1772,1772,1888,1888,1974,1974,1996,1996,1970,1970,1845,1845,1846,1846,1906,1906
1802,1772,1772,1719,1719,1586,1586,1736,1736,1841,1841,1769,1769,1864,1864,1773,1773
1768,1675,1675,1698,1698,1925,1925,1675,1675,1664,1664,1709,1709,1917,1917,1791,1791
1738,1711,1711,1701,1701,1842,1842,1712,1712,1606,1606,1746,1746,1808,1808,1692,1692
1603,1843,1843,1773,1773,1849,1849,1704,1704,1592,1592,1746,1746,1760,1760,1832,1832
1456,1852,1852,1935,1935,1867,1867,1777,1777,1757,1757,1835,1835,1815,1815,1700,1700
1925,1949,1949,1945,1945,1988,1988,1868,1868,1948,1948,1718,1718,1897,1897,1811,1811
2012,1920,1920,2066,2066,2045,2045,2096,2096,2032,2032,1943,1943,2011,2011,1974,1974
2213,2256,2256,2215,2215,2226,2226,2123,2123,2247,2247,2123,2123,2235,2235,2180,2180
2571,2560,2560,2604,2604,2590,2590,2589,2589,2612,2612,2603,2603,2597,2597,2616,2616
3703,3703,3703,3704,3704,3704,3704,3704,3704,3707,3707,3704,3704,3707,3707,3704,3704
4249,4248,4248,4247,4247,4247,4247,4247,4247,4249,4249,4247,4247,4248,4248,4247,4247
4017,4016,4016,4017,4017,4016,4016,4017,4017,4017,4017,4017,4017,4017,4017,4016,4016
2890,2877,2877,2893,2893,2883,2883,2886,2886,2877,2877,2897,2897,2883,2883,2882,2882
2502,2516,2516,2509,2509,2517,2517,2513,2513,2509,2509,2469,2469,2527,2527,2483,2483
2254,2265,2265,2173,2173,2203,2203,2195,2195,2270,2270,2246,2246,2172,2172,2254,2254
2092,2031,2031,2138,2138,2074,2074,2102,2102,2094,2094,2103,2103,2120,2120,2027,2027
1856,1879,1879,1781,1781,1729,1729,1817,1817,1882,1882,1959,1959,1846,1846,1837,1837
1859,1617,1617,1738,1738,1936,1936,1798,1798,1573,1573,1660,1660,1861,1861,1710,1710
1700,1449,1449,1707,1707,1801,1801,1757,1757,1665,1665,1680,1680,1702,1702,1731,1731
1516,1698,1698,1843,1843,1818,1818,1643,1643,1670,1670,1666,1666,1756,1756,1720,1720
1865,1870,1870,1831,1831,1820,1820,1802,1802,1855,1855,1933,1933,1858,1858,1954,1954
2118,2018,2018,2031,2031,2056,2056,2071,2071,2087,2087,2015,2015,2045,2045,2024,2024
2247,2235,2235,2288,2288,2229,2229,2205,2205,2289,2289,2254,2254,2218,2218,2296,2296
2513,2519,2519,2477,2477,2515,2515,2513,2513,2493,2493,2485,2485,2539,2539,2445,2445
2882,2887,2887,2898,2898,2889,2889,2883,2883,2896,2896,2896,2896,2878,2878,2903,2903
4023,4022,4022,4022,4022,4022,4022,4023,4023,4023,4023,4023,4023,4022,4022,4022,4022
4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127
3912,3911,3911,3910,3910,3910,3910,3911,3911,3911,3911,3911,3911,3910,3910,3910,3910
2775,2782,2782,2793,2793,2789,2789,2778,2778,2772,2772,2798,2798,2781,2781,2783,2783
2386,2393,2393,2401,2401,2384,2384,2393,2393,2412,2412,2368,2368,2411,2411,2353,2353
2074,2127,2127,2056,2056,2132,2132,2163,2163,2049,2049,2185,2185,2037,2037,2157,2157
2002,1995,1995,1945,1945,1842,1842,1803,1803,2018,2018,1856,1856,1992,1992,1997,1997
