data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
3933,3936,3936,3933,3933,3932,3932,3935,3935,3933,3933,3934,3934,3932,3932,3933,3933
3717,3717,3717,3715,3715,3713,3713,3716,3716,3716,3716,3716,3716,3716,3716,3715,3715
2607,2567,2567,2580,2580,2576,2576,2585,2585,2602,2602,2583,2583,2603,2603,2573,2573
2188,2216,2216,2273,2273,2179,2179,2191,2191,2195,2195,2221,2221,2143,2143,2202,2202
2038,2051,2051,2039,2039,2020,2020,1938,1938,1942,1942,1957,1957,1985,1985,1991,1991
1863,1799,1799,1983,1983,1861,1861,1941,1941,1928,1928,1926,1926,1831,1831,1891,1891
1785,1670,1670,1842,1842,1732,1732,1843,1843,1711,1711,1742,1742,1675,1675,1881,1881
1729,1822,1822,1863,1863,1855,1855,1778,1778,1671,1671,1858,1858,1789,1789,1820,1820
1614,1556,1556,1757,1757,1763,1763,1689,1689,1758,1758,1781,1781,1833,1833,1777,1777
1662,1772,1772,1700,1700,1918,1918,1622,1622,1911,1911,1692,1692,1701,1701,1699,1699
1757,1844,1844,1700,1700,1675,1675,1806,1806,1788,1788,1799,1799,1639,1639,1771,1771
1922,1935,1935,1943,1943,1764,1764,1876,1876,1963,1963,1925,1925,1679,1679,1942,1942
1994,1991,1991,2015,2015,1985,1985,1960,1960,1896,1896,2018,2018,2155,2155,1952,1952
2134,2235,2235,2231,2231,2271,2271,2151,2151,2177,2177,2219,2219,2159,2159,2239,2239
2581,2594,2594,2572,2572,2526,2526,2611,2611,2584,2584,2595,2595,2609,2609,2562,2562
3699,3699,3699,3697,3697,3695,3695,3701,3701,3698,3698,3699,3699,3698,3698,3697,3697
4241,4242,4242,4242,4242,4242,4242,4244,4244,4241,4241,4241,4241,4241,4241,4241,4241
4010,4010,4010,4009,4009,4008,4008,4010,4010,4008,4008,4007,4007,4007,4007,4009,4009
2892,2889,2889,2880,2880,2873,2873,2879,2879,2885,2885,2884,2884,2866,2866,2884,2884
2475,2487,2487,2520,2520,2489,2489,2508,2508,2508,2508,2497,2497,2511,2511,2498,2498
2295,2225,2225,2269,2269,2296,2296,2251,2251,2220,2220,2239,2239,2214,2214,2237,2237
2045,2102,2102,2079,2079,2010,2010,2071,2071,2096,2096,2076,2076,2107,2107,2077,2077
1933,1821,1821,1873,1873,1782,1782,1899,1899,1774,1774,1769,1769,1851,1851,1993,1993
