data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
3953,3954,3954,3951,3951,3950,3950,3951,3951,3950,3950,3950,3950,3953,3953,3949,3949
3739,3741,3741,3735,3735,3736,3736,3737,3737,3735,3735,3736,3736,3737,3737,3732,3732
2632,2639,2639,2604,2604,2605,2605,2630,2630,2603,2603,2638,2638,2616,2616,2601,2601
2160,2315,2315,2197,2197,2237,2237,2235,2235,2246,2246,2222,2222,2236,2236,2229,2229
2020,1856,1856,1979,1979,2079,2079,1954,1954,1986,1986,1956,1956,2036,2036,2053,2053
1868,1911,1911,1835,1835,1990,1990,1943,1943,1838,1838,1892,1892,1788,1788,1850,1850
1809,1841,1841,1744,1744,1718,1718,1826,1826,1870,1870,1865,1865,1818,1818,1846,1846
1894,1873,1873,1836,1836,1809,1809,1788,1788,1795,1795,1741,1741,1811,1811,1720,1720
1853,1656,1656,1913,1913,1942,1942,1739,1739,1587,1587,1848,1848,1789,1789,1719,1719
1854,1811,1811,1889,1889,1814,1814,1736,1736,1654,1654,1817,1817,1741,1741,1685,1685
1861,1817,1817,1745,1745,1855,1855,1809,1809,1766,1766,1855,1855,1773,1773,1805,1805
2010,1725,1725,1902,1902,1948,1948,1813,1813,1886,1886,1734,1734,1951,1951,1939,1939
1961,2027,2027,1967,1967,1934,1934,2071,2071,1985,1985,2053,2053,2024,2024,1998,1998
2235,2191,2191,2223,2223,2208,2208,2202,2202,2231,2231,2223,2223,2190,2190,2224,2224
2636,2620,2620,2633,2633,2610,2610,2589,2589,2636,2636,2602,2602,2607,2607,2612,2612
3727,3726,3726,3727,3727,3721,3721,3722,3722,3725,3725,3725,3725,3725,3725,3723,3723
4263,4262,4262,4262,4262,4261,4261,4262,4262,4260,4260,4262,4262,4262,4262,4262,4262
4034,4034,4034,4033,4033,4032,4032,4034,4034,4031,4031,4032,4032,4032,4032,4032,4032
2904,2917,2917,2900,2900,2898,2898,2914,2914,2896,2896,2902,2902,2910,2910,2901,2901
2511,2531,2531,2503,2503,2520,2520,2517,2517,2494,2494,2517,2517,2466,2466,2494,2494
2279,2262,2262,2293,2293,2272,2272,2222,2222,2313,2313,2294,2294,2302,2302,2287,2287
2064,2101,2101,2047,2047,2079,2079,2135,2135,2018,2018,2069,2069,2026,2026,2064,2064
1954,1718,1718,1885,1885,1876,1876,1930,1930,1889,1889,1847,1847,1975,1975,1965,1965
1839,1817,1817,1910,1910,1728,1728,1814,1814,1881,1881,1745,1745,1829,1829,1750,1750
1647,1730,1730,1943,1943,1917,1917,1696,1696,1673,1673,1704,1704,1817,1817,1752,1752
1768,1657,1657,1809,1809,1806,1806,1673,1673,1638,1638,1824,1824,1673,1673,1647,1647
1836,1868,1868,1881,1881,1990,1990,1882,1882,1806,1806,1895,1895,1797,1797,1924,1924
2053,2014,2014,2078,2078,2143,2143,2071,2071,2072,2072,2038,2038,2117,2117,2084,2084
