data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
4008,4008,4004,4004,4001,4001,4007,4007,4001,4001,4003,4003,4001,4001,4004,4004,4005,4005
3783,3783,3781,3781,3777,3777,3782,3782,3782,3782,3779,3779,3781,3781,3779,3779,3781,3781
2664,2664,2657,2657,2647,2647,2683,2683,2678,2678,2597,2597,2710,2710,2672,2672,2665,2665
2337,2337,2368,2368,2207,2207,2392,2392,2331,2331,2261,2261,2311,2311,2272,2272,2327,2327
2142,2142,1962,1962,2058,2058,2045,2045,2125,2125,2170,2170,2112,2112,2064,2064,2135,2135
1910,1910,1956,1956,1943,1943,1896,1896,1889,1889,1890,1890,1865,1865,1823,1823,1932,1932
1845,1845,1842,1842,1692,1692,1827,1827,1946,1946,1839,1839,1873,1873,1738,1738,1967,1967
1697,1697,1747,1747,1621,1621,1767,1767,1699,1699,1749,1749,1627,1627,1757,1757,1810,1810
1727,1727,1787,1787,1800,1800,1830,1830,1646,1646,1777,1777,1694,1694,1788,1788,1761,1761
1750,1750,1905,1905,1787,1787,1768,1768,1799,1799,1776,1776,1734,1734,1838,1838,1822,1822
1819,1819,1717,1717,1632,1632,1774,1774,1782,1782,1704,1704,1630,1630,1864,1864,1824,1824
1757,1757,2017,2017,1858,1858,1954,1954,1836,1836,1904,1904,1781,1781,1891,1891,1875,1875
2123,2123,2048,2048,2114,2114,2016,2016,2170,2170,2092,2092,2100,2100,2018,2018,2041,2041
2316,2316,2316,2316,2321,2321,2359,2359,2330,2330,2332,2332,2328,2328,2343,2343,2362,2362
2621,2621,2649,2649,2653,2653,2583,2583,2642,2642,2618,2618,2647,2647,2694,2694,2661,2661
3790,3790,3787,3787,3782,3782,3790,3790,3786,3786,3784,3784,3785,3785,3789,3789,3787,3787
4262,4262,4259,4259,4259,4259,4260,4260,4259,4259,4259,4259,4259,4259,4260,4260,4260,4260
4040,4040,4038,4038,4035,4035,4038,4038,4036,4036,4037,4037,4036,4036,4037,4037,4037,4037
2899,2899,2915,2915,2907,2907,2920,2920,2912,2912,2910,2910,2899,2899,2927,2927,2920,2920
2573,2573,2524,2524,2448,2448,2552,2552,2464,2464,2511,2511,2566,2566,2528,2528,2546,2546
2254,2254,2260,2260,2312,2312,2294,2294,2339,2339,2312,2312,2329,2329,2286,2286,2322,2322
2086,2086,2143,2143,2150,2150,2134,2134,2120,2120,2092,2092,2038,2038,2137,2137,2122,2122
1858,1858,1947,1947,1934,1934,1923,1923,2009,2009,1916,1916,2044,2044,1927,1927,2021,2021
1837,1837,1765,1765,1707,1707,1837,1837,1691,1691,1816,1816,1703,1703,1710,1710,1677,1677
1632,1632,1708,1708,1739,1739,1670,1670,1742,1742,1757,1757,1672,1672,1655,1655,1680,1680
1778,1778,1763,1763,1840,1840,1738,1738,1803,1803,1648,1648,1808,1808,1825,1825,1801,1801
1845,1845,1842,1842,1764,1764,1762,1762,1955,1955,1877,1877,1882,1882,1956,1956,1919,1919
2100,2100,2066,2066,2053,2053,2115,2115,2018,2018,2070,2070,2070,2070,2146,2146,2096,2096
2283,2283,2236,2236,2356,2356,2255,2255,2341,2341,2281,2281,2258,2258,2251,2251,2336,2336
2532,2532,2548,2548,2491,2491,2538,2538,2506,2506,2536,2536,2529,2529,2551,2551,2550,2550
2905,2905,2907,2907,2920,2920,2905,2905,2901,2901,2895,2895,2903,2903,2920,2920,2909,2909
4042,4042,4041,4041,4041,4041,4042,4042,4040,4040,4040,4040,4040,4040,4042,4042,4040,4040
4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4238,4237,4237,4237,4237
4011,4011,4011,4011,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010,4010
2869,2869,2882,2882,2874,2874,2880,2880,2863,2863,2878,2878,2867,2867,2885,2885,2870,2870
2490,2490,2468,2468,2500,2500,2473,2473,2512,2512,2495,2495,2517,2517,2432,2432,2497,2497
2254,2254,2236,2236,2248,2248,2179,2179,2243,2243,2209,2209,2246,2246,2286,2286,2237,2237
2042,2042,2024,2024,2037,2037,2061,2061,2052,2052,2076,2076,1967,1967,2117,2117,1983,1983
1821,1821,1822,1822,1829,1829,1822,1822,1812,1812,1922,1922,1935,1935,1871,1871,1946,1946
1643,1643,1584,1584,1619,1619,1769,1769,1607,1607,1808,1808,1721,1721,1654,1654,1678,1678
1740,1740,1574,1574,1643,1643,1606,1606,1767,1767,1789,1789,1678,1678,1485,1485,1473,1473
1753,1753,1799,1799,1788,1788,1700,1700,1879,1879,1679,1679,1752,1752,1736,1736,1722,1722
1852,1852,1821,1821,1873,1873,1781,1781,1893,1893,1836,1836,1834,1834,1921,1921,1903,1903
2115,2115,1959,1959,1976,1976,2066,2066,2044,2044,1999,1999,2049,2049,1982,1982,2000,2000
2210,2210,2254,2254,2173,2173,2210,2210,2264,2264,2222,2222,2188,2188,2270,2270,2244,2244
2504,2504,2495,2495,2507,2507,2483,2483,2465,2465,2501,2501,2495,2495,2501,2501,2488,2488
2880,2880,2866,2866,2877,2877,2878,2878,2882,2882,2870,2870,2878,2878,2868,2868,2877,2877
4007,4007,4005,4005,4005,4005,4006,4006,4006,4006,4005,4005,4006,4006,4005,4005,4004,4004
3998,3998,3997,3997,3997,3997,3997,3997,3996,3996,3997,3997,3996,3996,3995,3995,3996,3996
3772,3772,3770,3770,3771,3771,3771,3771,3773,3773,3770,3770,3771,3771,3769,3769,3769,3769
2643,2643,2641,2641,2651,2651,2653,2653,2676,2676,2633,2633,2657,2657,2643,2643,2647,2647
2290,2290,2240,2240,2196,2196,2268,2268,2242,2242,2302,2302,2228,2228,2208,2208,2231,2231
2014,2014,1997,1997,2068,2068,2097,2097,1909,1909,1955,1955,2052,2052,2085,2085,2097,2097
1779,1779,1839,1839,1801,1801,1735,1735,1898,1898,1836,1836,1782,1782,1788,1788,1835,1835
1760,1760,1717,1717,1599,1599,1700,1700,1606,1606,1700,1700,1725,1725,1771,1771,1799,1799
1616,1616,1565,1565,1574,1574,1403,1403,1715,1715,1775,1775,1845,1845,1677,1677,1601,1601
1637,1637,1633,1633,1614,1614,1526,1526,1786,1786,1613,1613,1722,1722,1632,1632,1526,1526
1750,1750,1757,1757,1784,1784,1654,1654,1770,1770,1663,1663,1686,1686,1713,1713,1524,1524
1757,1757,1637,1637,1594,1594,1775,1775,1772,1772,1604,1604,1786,1786,1710,1710,1717,1717
1819,1819,1875,1875,1792,1792,1893,1893,1839,1839,1796,1796,1708,1708,1794,1794,1873,1873
2012,2012,2032,2032,2075,2075,1959,1959,2013,2013,2046,2046,2004,2004,2056,2056,2003,2003
2280,2280,2263,2263,2291,2291,2263,2263,2259,2259,2233,2233,2273,2273,2265,2265,2270,2270
