data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
3962,3963,3963,3963,3963,3961,3961,3960,3960,3961,3961,3962,3962,3961,3961,3962,3962
3744,3747,3747,3745,3745,3745,3745,3745,3745,3746,3746,3747,3747,3745,3745,3745,3745
2609,2628,2628,2607,2607,2620,2620,2570,2570,2628,2628,2609,2609,2607,2607,2609,2609
2226,2218,2218,2264,2264,2233,2233,2256,2256,2221,2221,2278,2278,2159,2159,2230,2230
2108,2033,2033,1891,1891,1969,1969,2055,2055,2024,2024,2020,2020,2009,2009,1981,1981
2072,1915,1915,1820,1820,1940,1940,1912,1912,1841,1841,1957,1957,1828,1828,1794,1794
1888,1592,1592,1760,1760,1799,1799,1781,1781,1941,1941,1761,1761,1761,1761,1795,1795
1758,1805,1805,1673,1673,1590,1590,1664,1664,1873,1873,1842,1842,1899,1899,1859,1859
1725,1673,1673,1732,1732,1667,1667,1564,1564,1897,1897,1775,1775,1876,1876,1787,1787
1830,1748,1748,1795,1795,1717,1717,1616,1616,1868,1868,1777,1777,1855,1855,1871,1871
1800,1850,1850,1804,1804,1602,1602,1830,1830,1768,1768,1881,1881,1922,1922,1947,1947
1849,1930,1930,1914,1914,1892,1892,1882,1882,1895,1895,1844,1844,1942,1942,1937,1937
1989,1963,1963,1948,1948,2000,2000,2016,2016,1982,1982,2019,2019,2051,2051,2084,2084
2257,2287,2287,2244,2244,2236,2236,2260,2260,2192,2192,2268,2268,2160,2160,2028,2028
2601,2602,2602,2644,2644,2605,2605,2605,2605,2637,2637,2604,2604,2648,2648,2621,2621
3733,3736,3736,3738,3738,3735,3735,3735,3735,3736,3736,3737,3737,3737,3737,3735,3735
4268,4269,4269,4268,4268,4269,4269,4270,4270,4268,4268,4268,4268,4268,4268,4270,4270
4040,4040,4040,4041,4041,4040,4040,4040,4040,4042,4042,4040,4040,4040,4040,4040,4040
2912,2901,2901,2905,2905,2910,2910,2909,2909,2917,2917,2907,2907,2910,2910,2912,2912
2501,2539,2539,2531,2531,2527,2527,2516,2516,2527,2527,2552,2552,2518,2518,2487,2487
2290,2252,2252,2260,2260,2229,2229,2292,2292,2276,2276,2226,2226,2276,2276,2288,2288
2138,2138,2138,2091,2091,2145,2145,2052,2052,2037,2037,2125,2125,2120,2120,2041,2041
1868,1770,1770,1901,1901,1887,1887,1943,1943,1977,1977,1850,1850,1794,1794,1956,1956
1819,1676,1676,1725,1725,1542,1542,1892,1892,1861,1861,1727,1727,1865,1865,1725,1725
1782,1659,1659,1665,1665,1628,1628,1737,1737,1707,1707,1706,1706,1797,1797,1628,1628
1793,1737,1737,1794,1794,1685,1685,1824,1824,1751,1751,1868,1868,1765,1765,1638,1638
1921,2003,2003,1896,1896,1830,1830,1886,1886,1968,1968,1877,1877,1830,1830,1814,1814
2064,2068,2068,2065,2065,2142,2142,2052,2052,2077,2077,2106,2106,2121,2121,2102,2102
2300,2249,2249,2274,2274,2203,2203,2274,2274,2246,2246,2204,2204,2261,2261,2295,2295
2518,2544,2544,2503,2503,2550,2550,2530,2530,2545,2545,2546,2546,2514,2514,2509,2509
2909,2908,2908,2921,2921,2888,2888,2907,2907,2906,2906,2911,2911,2920,2920,2909,2909
4045,4045,4045,4044,4044,4043,4043,4045,4045,4045,4045,4045,4045,4044,4044,4045,4045
4150,4150,4150,4150,4150,4150,4150,4150,4150,4150,4150,4149,4149,4150,4150,4150,4150
3936,3933,3933,3934,3934,3934,3934,3933,3933,3934,3934,3933,3933,3934,3934,3935,3935
2809,2802,2802,2788,2788,2809,2809,2794,2794,2799,2799,2813,2813,2802,2802,2805,2805
2371,2382,2382,2460,2460,2425,2425,2425,2425,2438,2438,2392,2392,2412,2412,2407,2407
2166,2168,2168,2093,2093,2067,2067,2120,2120,2113,2113,2184,2184,2174,2174,2183,2183
1974,2014,2014,1974,1974,1953,1953,1941,1941,1906,1906,1934,1934,1992,1992,1976,1976
