data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
3950,3950,3950,3954,3954,3952,3952,3951,3951,3949,3949,3949,3949,3949,3949,3949,3949
3733,3737,3737,3738,3738,3735,3735,3738,3738,3733,3733,3731,3731,3735,3735,3735,3735
2545,2658,2658,2588,2588,2583,2583,2645,2645,2584,2584,2549,2549,2612,2612,2589,2589
2263,2138,2138,2309,2309,2229,2229,2244,2244,2231,2231,2251,2251,2248,2248,2244,2244
2006,2000,2000,1910,1910,1948,1948,2064,2064,2034,2034,2013,2013,2057,2057,2027,2027
1806,1801,1801,1856,1856,1935,1935,1841,1841,1775,1775,1981,1981,1886,1886,1824,1824
1931,1721,1721,1766,1766,1768,1768,1910,1910,1736,1736,1861,1861,1701,1701,1797,1797
1675,1797,1797,1689,1689,1564,1564,1719,1719,1726,1726,1771,1771,1593,1593,1819,1819
1663,1845,1845,1778,1778,1725,1725,1650,1650,1743,1743,1667,1667,1690,1690,1833,1833
1705,1820,1820,1744,1744,1679,1679,1620,1620,1679,1679,1800,1800,1805,1805,1835,1835
1804,1970,1970,1861,1861,1815,1815,1767,1767,1894,1894,1827,1827,1932,1932,1743,1743
1794,1971,1971,1922,1922,1853,1853,1870,1870,1779,1779,1707,1707,1843,1843,1847,1847
2057,2044,2044,2088,2088,2039,2039,1967,1967,2020,2020,2027,2027,2048,2048,1949,1949
2198,2212,2212,2226,2226,2231,2231,2208,2208,2276,2276,2245,2245,2224,2224,2288,2288
2600,2603,2603,2586,2586,2597,2597,2613,2613,2564,2564,2585,2585,2621,2621,2629,2629
3721,3722,3722,3725,3725,3721,3721,3725,3725,3718,3718,3722,3722,3723,3723,3722,3722
4262,4262,4262,4263,4263,4263,4263,4263,4263,4261,4261,4261,4261,4261,4261,4261,4261
4029,4030,4030,4030,4030,4030,4030,4029,4029,4029,4029,4028,4028,4029,4029,4029,4029
2895,2916,2916,2895,2895,2899,2899,2902,2902,2887,2887,2899,2899,2900,2900,2894,2894
2506,2479,2479,2543,2543,2503,2503,2525,2525,2520,2520,2508,2508,2521,2521,2531,2531
2263,2316,2316,2244,2244,2242,2242,2278,2278,2269,2269,2258,2258,2269,2269,2251,2251
2013,2046,2046,2071,2071,2044,2044,1942,1942,2065,2065,2077,2077,2072,2072,2082,2082
1962,1947,1947,1926,1926,1942,1942,2082,2082,1925,1925,1882,1882,1700,1700,1753,1753
1741,1780,1780,1534,1534,1775,1775,1750,1750,1796,1796,1841,1841,1605,1605,1839,1839
1571,1855,1855,1675,1675,1692,1692,1428,1428,1662,1662,1675,1675,1745,1745,1708,1708
1798,1817,1817,1764,1764,1742,1742,1801,1801,1731,1731,1774,1774,1793,1793,1770,1770
1914,2022,2022,1911,1911,1934,1934,1917,1917,1911,1911,1961,1961,1925,1925,1868,1868
2014,2060,2060,2002,2002,1953,1953,2055,2055,2033,2033,1968,1968,2028,2028,2056,2056
2258,2316,2316,2294,2294,2295,2295,2277,2277,2232,2232,2307,2307,2263,2263,2230,2230
2525,2486,2486,2517,2517,2512,2512,2492,2492,2526,2526,2514,2514,2518,2518,2529,2529
2897,2912,2912,2899,2899,2909,2909,2916,2916,2891,2891,2900,2900,2906,2906,2906,2906
4034,4036,4036,4036,4036,4036,4036,4037,4037,4034,4034,4036,4036,4035,4035,4035,4035
4139,4139,4139,4138,4138,4140,4140,4139,4139,4138,4138,4137,4137,4138,4138,4136,4136
3920,3920,3920,3921,3921,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920
2794,2788,2788,2792,2792,2799,2799,2792,2792,2783,2783,2803,2803,2793,2793,2791,2791
2375,2418,2418,2403,2403,2389,2389,2384,2384,2392,2392,2414,2414,2423,2423,2401,2401
2170,2143,2143,2157,2157,2181,2181,2212,2212,2225,2225,2130,2130,2154,2154,2135,2135
1952,1981,1981,2004,2004,1907,1907,1736,1736,1904,1904,2003,2003,1983,1983,1946,1946
1742,1876,1876,1829,1829,1785,1785,1963,1963,1859,1859,1831,1831,1891,1891,1915,1915
1643,1640,1640,1567,1567,1718,1718,1646,1646,1631,1631,1757,1757,1637,1637,1790,1790
1704,1753,1753,1690,1690,1632,1632,1641,1641,1720,1720,1551,1551,1563,1563,1606,1606
1736,1728,1728,1704,1704,1564,1564,1710,1710,1768,1768,1695,1695,1654,1654,1694,1694
1817,1728,1728,1959,1959,1804,1804,1801,1801,1732,1732,1874,1874,1905,1905,1805,1805
1946,1942,1942,1951,1951,1901,1901,1933,1933,2000,2000,1942,1942,1944,1944,1911,1911
2146,2211,2211,2145,2145,2156,2156,2180,2180,2150,2150,2199,2199,2147,2147,2125,2125
2415,2395,2395,2417,2417,2411,2411,2380,2380,2391,2391,2378,2378,2408,2408,2417,2417
2793,2797,2797,2790,2790,2805,2805,2810,2810,2793,2793,2800,2800,2793,2793,2786,2786
3920,3919,3919,3919,3919,3922,3922,3921,3921,3919,3919,3920,3920,3919,3919,3919,3919
3795,3795,3795,3795,3795,3796,3796,3795,3795,3795,3795,3795,3795,3796,3796,3796,3796
3578,3580,3580,3579,3579,3578,3578,3577,3577,3578,3578,3579,3579,3580,3580,3580,3580
2474,2460,2460,2477,2477,2456,2456,2438,2438,2477,2477,2429,2429,2462,2462,2504,2504
2104,2104,2104,2053,2053,2106,2106,2037,2037,2081,2081,2126,2126,2076,2076,2044,2044
1834,1772,1772,1968,1968,1954,1954,1935,1935,1858,1858,1874,1874,1872,1872,1978,1978
1730,1773,1773,1813,1813,1726,1726,1810,1810,1770,1770,1857,1857,1760,1760,1773,1773
1649,1717,1717,1650,1650,1746,1746,1653,1653,1735,1735,1794,1794,1821,1821,1744,1744
1617,1680,1680,1454,1454,1738,1738,1720,1720,1661,1661,1742,1742,1631,1631,1719,1719
1732,1783,1783,1651,1651,1617,1617,1633,1633,1634,1634,1695,1695,1630,1630,1686,1686
1775,1747,1747,1651,1651,1682,1682,1683,1683,1512,1512,1681,1681,1689,1689,1665,1665
1771,1630,1630,1698,1698,1607,1607,1753,1753,1673,1673,1701,1701,1736,1736,1738,1738
1821,1774,1774,1656,1656,1855,1855,1642,1642,1811,1811,1702,1702,1815,1815,1678,1678
1966,1916,1916,1935,1935,1841,1841,1856,1856,1907,1907,1853,1853,1685,1685,1834,1834
2105,2093,2093,2058,2058,2133,2133,2068,2068,2087,2087,2127,2127,2111,2111,2131,2131
2466,2462,2462,2430,2430,2476,2476,2446,2446,2424,2424,2449,2449,2448,2448,2416,2416
3578,3580,3580,3578,3578,3581,3581,3580,3580,3578,3578,3579,3579,3580,3580,3578,3578
3570,3569,3569,3570,3570,3571,3571,3572,3572,3570,3570,3569,3569,3571,3571,3572,3572
