data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
4036,4036,4037,4037,4036,4036,4035,4035,4037,4037,4037,4037,4035,4035,4038,4038,4036,4036
3807,3807,3810,3810,3808,3808,3808,3808,3811,3811,3808,3808,3805,3805,3809,3809,3807,3807
2680,2680,2698,2698,2687,2687,2709,2709,2699,2699,2673,2673,2590,2590,2696,2696,2696,2696
2300,2300,2322,2322,2313,2313,2235,2235,2303,2303,2271,2271,2343,2343,2335,2335,2291,2291
2094,2094,2033,2033,2067,2067,2129,2129,2107,2107,2152,2152,1987,1987,2003,2003,2065,2065
1843,1843,1977,1977,1942,1942,1972,1972,1894,1894,1938,1938,1934,1934,2004,2004,1847,1847
1821,1821,1911,1911,1796,1796,1523,1523,1742,1742,1750,1750,1862,1862,1875,1875,1898,1898
1735,1735,1823,1823,1789,1789,1870,1870,1740,1740,1693,1693,1770,1770,1785,1785,1900,1900
1590,1590,1637,1637,1696,1696,1707,1707,1389,1389,1708,1708,1778,1778,1703,1703,1821,1821
1760,1760,1814,1814,1875,1875,1698,1698,1638,1638,1837,1837,1763,1763,1875,1875,1742,1742
1754,1754,1860,1860,1909,1909,1652,1652,1741,1741,1575,1575,1806,1806,1894,1894,1941,1941
1900,1900,2002,2002,1780,1780,1993,1993,2047,2047,1873,1873,1808,1808,1848,1848,1890,1890
2125,2125,2108,2108,2011,2011,2148,2148,2094,2094,2104,2104,2081,2081,2098,2098,2070,2070
2313,2313,2353,2353,2367,2367,2277,2277,2334,2334,2357,2357,2292,2292,2265,2265,2348,2348
2706,2706,2697,2697,2659,2659,2673,2673,2611,2611,2625,2625,2692,2692,2690,2690,2664,2664
3821,3821,3821,3821,3819,3819,3818,3818,3819,3819,3819,3819,3819,3819,3822,3822,3819,3819
4262,4262,4263,4263,4263,4263,4264,4264,4265,4265,4267,4267,4266,4266,4267,4267,4267,4267
4041,4041,4041,4041,4041,4041,4042,4042,4041,4041,4041,4041,4040,4040,4042,4042,4042,4042
2921,2921,2923,2923,2919,2919,2924,2924,2921,2921,2904,2904,2902,2902,2915,2915,2927,2927
2495,2495,2576,2576,2528,2528,2523,2523,2518,2518,2538,2538,2559,2559,2577,2577,2533,2533
2306,2306,2279,2279,2305,2305,2295,2295,2273,2273,2333,2333,2288,2288,2219,2219,2276,2276
2069,2069,2151,2151,2063,2063,2103,2103,2121,2121,2108,2108,2138,2138,2179,2179,2126,2126
1928,1928,1972,1972,1904,1904,1843,1843,1947,1947,1975,1975,1855,1855,1905,1905,1867,1867
1859,1859,1774,1774,1819,1819,1930,1930,1719,1719,1693,1693,1811,1811,1694,1694,1862,1862
1724,1724,1684,1684,1725,1725,1656,1656,1664,1664,1661,1661,1705,1705,1672,1672,1744,1744
1859,1859,1821,1821,1794,1794,1823,1823,1785,1785,1573,1573,1797,1797,1854,1854,1726,1726
1946,1946,1774,1774,1952,1952,1773,1773,1781,1781,1942,1942,1935,1935,1830,1830,2005,2005
2020,2020,2174,2174,2070,2070,2180,2180,2192,2192,1894,1894,2067,2067,2131,2131,2053,2053
2331,2331,2286,2286,2266,2266,2319,2319,2204,2204,2331,2331,2284,2284,2295,2295,2282,2282
2509,2509,2519,2519,2568,2568,2531,2531,2562,2562,2518,2518,2525,2525,2525,2525,2550,2550
2933,2933,2932,2932,2879,2879,2914,2914,2884,2884,2921,2921,2920,2920,2905,2905,2900,2900
4047,4047,4047,4047,4045,4045,4047,4047,4046,4046,4049,4049,4047,4047,4047,4047,4047,4047
4234,4234,4234,4234,4234,4234,4234,4234,4234,4234,4235,4235,4234,4234,4235,4235,4235,4235
4014,4014,4015,4015,4015,4015,4015,4015,4016,4016,4016,4016,4016,4016,4015,4015,4016,4016
2869,2869,2871,2871,2875,2875,2875,2875,2876,2876,2880,2880,2885,2885,2872,2872,2882,2882
2488,2488,2496,2496,2513,2513,2502,2502,2504,2504,2512,2512,2501,2501,2498,2498,2492,2492
2218,2218,2254,2254,2224,2224,2249,2249,2248,2248,2162,2162,2205,2205,2207,2207,2218,2218
2073,2073,2022,2022,2103,2103,2068,2068,2059,2059,2082,2082,2071,2071,2072,2072,2108,2108
1795,1795,1970,1970,1771,1771,1886,1886,1901,1901,1909,1909,1881,1881,1641,1641,1860,1860
1803,1803,1695,1695,1850,1850,1586,1586,1526,1526,1763,1763,1647,1647,1795,1795,1731,1731
1443,1443,1653,1653,1836,1836,1536,1536,1623,1623,1657,1657,1448,1448,1578,1578,1586,1586
1723,1723,1572,1572,1852,1852,1825,1825,1591,1591,1583,1583,1680,1680,1750,1750,1689,1689
1840,1840,1907,1907,1869,1869,1644,1644,1857,1857,1920,1920,1852,1852,1635,1635,1870,1870
2018,2018,2038,2038,2030,2030,2139,2139,2061,2061,1955,1955,2052,2052,2070,2070,2003,2003
