data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3620,3627,3627,3618,3618,3615,3615,3622,3622,3625,3625,3623,3623,3626,3626,3608,3608
3394,3403,3403,3392,3392,3380,3380,3399,3399,3399,3399,3396,3396,3403,3403,3367,3367
2254,2411,2411,2351,2351,2332,2332,2359,2359,2350,2350,2351,2351,2333,2333,2380,2380
1983,1916,1916,1977,1977,1945,1945,1899,1899,2009,2009,1942,1942,1986,1986,1948,1948
1789,1926,1926,1890,1890,1784,1784,1875,1875,1747,1747,1991,1991,1927,1927,1909,1909
1938,1897,1897,1728,1728,1589,1589,1717,1717,1757,1757,1807,1807,1834,1834,1791,1791
1670,1749,1749,1519,1519,1832,1832,1795,1795,1804,1804,1773,1773,1842,1842,1692,1692
1812,1768,1768,1606,1606,1763,1763,1702,1702,1931,1931,1819,1819,1549,1549,1625,1625
1648,1541,1541,1689,1689,1758,1758,1732,1732,1921,1921,1844,1844,1813,1813,1685,1685
1802,1629,1629,1766,1766,1743,1743,1735,1735,1810,1810,1842,1842,1792,1792,1684,1684
1879,1721,1721,1773,1773,1767,1767,1786,1786,1771,1771,1772,1772,1702,1702,1810,1810
1716,1790,1790,1667,1667,1775,1775,1795,1795,1829,1829,1617,1617,1951,1951,1778,1778
1851,1910,1910,1846,1846,1869,1869,1740,1740,1829,1829,1882,1882,1714,1714,1778,1778
2005,1973,1973,2045,2045,2012,2012,2034,2034,2087,2087,1867,1867,1902,1902,2052,2052
2272,2352,2352,2329,2329,2313,2313,2331,2331,2376,2376,2303,2303,2340,2340,2271,2271
3394,3411,3411,3401,3401,3395,3395,3398,3398,3404,3404,3404,3404,3413,3413,3394,3394
3850,3849,3849,3853,3853,3850,3850,3852,3852,3851,3851,3856,3856,3855,3855,3846,3846
3628,3621,3621,3630,3630,3627,3627,3627,3627,3629,3629,3635,3635,3635,3635,3625,3625
2507,2560,2560,2518,2518,2529,2529,2534,2534,2525,2525,2545,2545,2538,2538,2549,2549
2186,2054,2054,2129,2129,2157,2157,2134,2134,2218,2218,2080,2080,2180,2180,2156,2156
1953,2066,2066,1931,1931,1954,1954,1958,1958,1956,1956,2068,2068,2059,2059,2016,2016
1996,1912,1912,1742,1742,1791,1791,1839,1839,1860,1860,1829,1829,1811,1811,1841,1841
1774,1727,1727,1767,1767,1827,1827,1881,1881,1829,1829,1754,1754,1727,1727,1796,1796
1776,1811,1811,1704,1704,1787,1787,1600,1600,1908,1908,1684,1684,1648,1648,1584,1584
1641,1680,1680,1785,1785,1751,1751,1551,1551,1926,1926,1818,1818,1648,1648,1703,1703
1636,1616,1616,1766,1766,1681,1681,1618,1618,1700,1700,1813,1813,1552,1552,1778,1778
1798,1805,1805,1746,1746,1805,1805,1754,1754,1751,1751,1806,1806,1527,1527,1838,1838
1824,1826,1826,1852,1852,1877,1877,1735,1735,1875,1875,1856,1856,1870,1870,1838,1838
1902,1978,1978,1993,1993,1988,1988,1879,1879,1772,1772,2046,2046,1844,1844,1859,1859
2158,2173,2173,2189,2189,2195,2195,2190,2190,2148,2148,2097,2097,2184,2184,2196,2196
2511,2469,2469,2536,2536,2490,2490,2520,2520,2536,2536,2492,2492,2511,2511,2517,2517
3628,3626,3626,3631,3631,3627,3627,3626,3626,3630,3630,3635,3635,3633,3633,3625,3625
3955,3954,3954,3957,3957,3954,3954,3956,3956,3955,3955,3957,3957,3957,3957,3953,3953
3732,3731,3731,3734,3734,3731,3731,3731,3731,3732,3732,3734,3734,3733,3733,3732,3732
2590,2629,2629,2602,2602,2600,2600,2617,2617,2596,2596,2642,2642,2618,2618,2629,2629
2273,2217,2217,2281,2281,2241,2241,2230,2230,2279,2279,2182,2182,2256,2256,2115,2115
2000,2052,2052,2015,2015,2003,2003,1996,1996,2063,2063,2128,2128,2086,2086,2015,2015
1891,1932,1932,1745,1745,1900,1900,1780,1780,1755,1755,1765,1765,1790,1790,1879,1879
1622,1873,1873,1738,1738,1814,1814,1832,1832,1880,1880,1713,1713,1739,1739,1794,1794
1648,1725,1725,1521,1521,1735,1735,1621,1621,1859,1859,1604,1604,1541,1541,1658,1658
1478,1645,1645,1676,1676,1646,1646,1694,1694,1813,1813,1663,1663,1603,1603,1636,1636
1584,1662,1662,1712,1712,1697,1697,1624,1624,1732,1732,1714,1714,1602,1602,1721,1721
1649,1795,1795,1835,1835,1812,1812,1626,1626,1647,1647,1780,1780,1490,1490,1839,1839
1801,1870,1870,1739,1739,1898,1898,1875,1875,1947,1947,1812,1812,1942,1942,1729,1729
1991,2015,2015,2090,2090,1963,1963,1969,1969,1933,1933,2105,2105,1922,1922,2088,2088
2210,2254,2254,2241,2241,2288,2288,2283,2283,2237,2237,2236,2236,2200,2200,2274,2274
2617,2584,2584,2640,2640,2591,2591,2568,2568,2599,2599,2590,2590,2607,2607,2614,2614
3732,3729,3729,3733,3733,3730,3730,3731,3731,3730,3730,3732,3732,3733,3733,3730,3730
3952,3951,3951,3952,3952,3950,3950,3951,3951,3950,3950,3952,3952,3950,3950,3950,3950
3734,3733,3733,3733,3733,3729,3729,3732,3732,3732,3732,3734,3734,3729,3729,3729,3729
2614,2624,2624,2610,2610,2565,2565,2619,2619,2616,2616,2644,2644,2615,2615,2622,2622
2245,2252,2252,2270,2270,2244,2244,2240,2240,2216,2216,2216,2216,2254,2254,2199,2199
1974,1964,1964,1968,1968,2046,2046,2069,2069,2030,2030,2041,2041,2073,2073,1934,1934
1899,1931,1931,1759,1759,1809,1809,1680,1680,1753,1753,1722,1722,1799,1799,1925,1925
1775,1712,1712,1645,1645,1696,1696,1878,1878,1793,1793,1702,1702,1659,1659,1598,1598
1638,1742,1742,1686,1686,1701,1701,1545,1545,1843,1843,1648,1648,1620,1620,1665,1665
1579,1623,1623,1550,1550,1599,1599,1663,1663,1736,1736,1633,1633,1660,1660,1553,1553
1598,1752,1752,1710,1710,1664,1664,1628,1628,1650,1650,1559,1559,1630,1630,1638,1638
1655,1776,1776,1759,1759,1708,1708,1490,1490,1561,1561,1681,1681,1754,1754,1654,1654
1850,1830,1830,1667,1667,1804,1804,1852,1852,1905,1905,1740,1740,1878,1878,1755,1755
1988,1872,1872,2036,2036,1974,1974,1953,1953,2000,2000,2118,2118,2027,2027,2119,2119
2245,2276,2276,2254,2254,2270,2270,2257,2257,2269,2269,2244,2244,2239,2239,2269,2269
2612,2602,2602,2618,2618,2530,2530,2584,2584,2563,2563,2574,2574,2600,2600,2546,2546
3721,3719,3719,3720,3720,3717,3717,3718,3718,3717,3717,3720,3720,3718,3718,3718,3718
3920,3919,3919,3919,3919,3918,3918,3918,3918,3918,3918,3919,3919,3917,3917,3918,3918
3699,3698,3698,3698,3698,3698,3698,3697,3697,3696,3696,3696,3696,3697,3697,3696,3696
2567,2589,2589,2561,2561,2565,2565,2566,2566,2579,2579,2574,2574,2579,2579,2566,2566
2222,2169,2169,2200,2200,2192,2192,2201,2201,2182,2182,2171,2171,2099,2099,2182,2182
1950,1830,1830,2002,2002,1921,1921,2017,2017,1886,1886,1981,1981,2025,2025,1947,1947
1825,1917,1917,1658,1658,1673,1673,1554,1554,1844,1844,1608,1608,1652,1652,1875,1875
1800,1593,1593,1549,1549,1597,1597,1827,1827,1752,1752,1744,1744,1653,1653,1656,1656
1606,1688,1688,1599,1599,1575,1575,1642,1642,1750,1750,1715,1715,1560,1560,1578,1578
1431,1655,1655,1453,1453,1599,1599,1654,1654,1512,1512,1782,1782,1473,1473,1528,1528
1693,1562,1562,1688,1688,1619,1619,1686,1686,1647,1647,1696,1696,1546,1546,1677,1677
1686,1704,1704,1741,1741,1705,1705,1567,1567,1609,1609,1724,1724,1720,1720,1531,1531
1684,1782,1782,1695,1695,1730,1730,1773,1773,1863,1863,1806,1806,1794,1794,1745,1745
2004,1912,1912,2012,2012,1987,1987,1886,1886,1995,1995,1976,1976,2015,2015,1997,1997
2163,2249,2249,2227,2227,2227,2227,2179,2179,2188,2188,2229,2229,2146,2146,2206,2206
2569,2529,2529,2537,2537,2538,2538,2567,2567,2552,2552,2523,2523,2569,2569,2552,2552
3693,3691,3691,3691,3691,3689,3689,3691,3691,3689,3689,3688,3688,3689,3689,3689,3689
3808,3807,3807,3808,3808,3806,3806,3806,3806,3806,3806,3805,3805,3806,3806,3805,3805
3582,3580,3580,3581,3581,3580,3580,3579,3579,3581,3581,3579,3579,3578,3578,3579,3579
2475,2451,2451,2453,2453,2486,2486,2450,2450,2452,2452,2443,2443,2448,2448,2455,2455
2133,2101,2101,2096,2096,2032,2032,2065,2065,2089,2089,2102,2102,2037,2037,2101,2101
1894,1778,1778,1957,1957,1986,1986,1906,1906,1827,1827,1775,1775,1903,1903,1774,1774
1852,1812,1812,1714,1714,1779,1779,1756,1756,1789,1789,1584,1584,1644,1644,1785,1785
