data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3638,3637,3637,3639,3639,3641,3641,3651,3651,3651,3651,3648,3648,3652,3652,3660,3660
3416,3411,3411,3414,3414,3405,3405,3423,3423,3429,3429,3427,3427,3420,3420,3431,3431
2353,2380,2380,2387,2387,2345,2345,2418,2418,2404,2404,2394,2394,2397,2397,2352,2352
2094,1963,1963,1999,1999,2014,2014,1914,1914,1987,1987,1999,1999,2046,2046,2006,2006
1686,1834,1834,1808,1808,1863,1863,1943,1943,1857,1857,1767,1767,1903,1903,1894,1894
1653,1752,1752,1748,1748,1700,1700,1644,1644,1845,1845,1856,1856,1697,1697,1907,1907
1749,1869,1869,1647,1647,1723,1723,1706,1706,1762,1762,1858,1858,1795,1795,1691,1691
1780,1771,1771,1681,1681,1755,1755,1808,1808,1825,1825,1840,1840,1836,1836,1620,1620
1759,1751,1751,1637,1637,1909,1909,1758,1758,1775,1775,1737,1737,1888,1888,1670,1670
1679,1763,1763,1797,1797,1802,1802,1832,1832,1776,1776,1735,1735,1696,1696,1719,1719
1494,1740,1740,1842,1842,1809,1809,1780,1780,1823,1823,1675,1675,1801,1801,1862,1862
1483,1693,1693,1742,1742,1970,1970,1776,1776,1829,1829,1566,1566,1894,1894,1883,1883
1859,1811,1811,1845,1845,1856,1856,1757,1757,1819,1819,1775,1775,1941,1941,1995,1995
1939,2012,2012,2052,2052,2019,2019,2036,2036,2053,2053,2010,2010,1853,1853,1854,1854
2331,2275,2275,2274,2274,2356,2356,2321,2321,2332,2332,2328,2328,2384,2384,2355,2355
3424,3413,3413,3413,3413,3429,3429,3433,3433,3430,3430,3421,3421,3436,3436,3439,3439
3866,3859,3859,3860,3860,3863,3863,3860,3860,3861,3861,3860,3860,3863,3863,3863,3863
3643,3636,3636,3633,3633,3639,3639,3627,3627,3633,3633,3632,3632,3640,3640,3636,3636
2558,2555,2555,2513,2513,2542,2542,2545,2545,2568,2568,2422,2422,2570,2570,2520,2520
2209,2135,2135,2118,2118,2108,2108,2140,2140,2181,2181,2134,2134,2146,2146,2199,2199
1892,2002,2002,1903,1903,1966,1966,2024,2024,1920,1920,1941,1941,2025,2025,2025,2025
1664,1842,1842,1762,1762,1742,1742,1722,1722,1883,1883,1910,1910,1703,1703,1939,1939
1724,1813,1813,1713,1713,1836,1836,1686,1686,1766,1766,1796,1796,1806,1806,1662,1662
1700,1597,1597,1709,1709,1638,1638,1653,1653,1647,1647,1776,1776,1769,1769,1532,1532
1705,1597,1597,1744,1744,1850,1850,1669,1669,1649,1649,1726,1726,1787,1787,1717,1717
1711,1640,1640,1733,1733,1773,1773,1633,1633,1712,1712,1730,1730,1711,1711,1826,1826
1775,1821,1821,1863,1863,1858,1858,1752,1752,1805,1805,1786,1786,1797,1797,1841,1841
1619,1712,1712,1732,1732,1951,1951,1858,1858,1918,1918,1705,1705,1801,1801,1836,1836
1985,1956,1956,1935,1935,2024,2024,1856,1856,1858,1858,1859,1859,2048,2048,2051,2051
2114,2135,2135,2193,2193,2156,2156,2231,2231,2219,2219,2217,2217,2142,2142,2092,2092
2562,2528,2528,2521,2521,2532,2532,2520,2520,2539,2539,2509,2509,2570,2570,2504,2504
3646,3639,3639,3638,3638,3642,3642,3638,3638,3636,3636,3635,3635,3644,3644,3635,3635
3962,3960,3960,3961,3961,3962,3962,3958,3958,3962,3962,3961,3961,3963,3963,3962,3962
3741,3739,3739,3736,3736,3739,3739,3734,3734,3738,3738,3738,3738,3741,3741,3739,3739
2645,2642,2642,2623,2623,2626,2626,2574,2574,2633,2633,2602,2602,2639,2639,2603,2603
2244,2253,2253,2264,2264,2180,2180,2171,2171,2255,2255,2210,2210,2258,2258,2317,2317
2047,2103,2103,1950,1950,2039,2039,2057,2057,1998,1998,2057,2057,1950,1950,2053,2053
1805,1757,1757,1888,1888,1879,1879,1747,1747,1905,1905,1850,1850,1741,1741,1868,1868
1693,1831,1831,1785,1785,1757,1757,1738,1738,1805,1805,1795,1795,1695,1695,1767,1767
1783,1621,1621,1664,1664,1664,1664,1733,1733,1563,1563,1720,1720,1713,1713,1638,1638
1795,1665,1665,1790,1790,1726,1726,1614,1614,1527,1527,1751,1751,1674,1674,1695,1695
1657,1566,1566,1628,1628,1760,1760,1524,1524,1653,1653,1738,1738,1716,1716,1795,1795
