data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13
3693,3688,3688,3685,3685,3690,3690,3687,3687,3686,3686,3691,3691
3467,3469,3469,3453,3453,3465,3465,3465,3465,3456,3456,3470,3470
2356,2430,2430,2444,2444,2384,2384,2377,2377,2426,2426,2426,2426
2020,2074,2074,1916,1916,1977,1977,2085,2085,1974,1974,2079,2079
1845,1843,1843,1860,1860,1959,1959,1695,1695,1882,1882,1796,1796
1862,1927,1927,1682,1682,1729,1729,1597,1597,1771,1771,1717,1717
1839,1833,1833,1651,1651,1721,1721,1713,1713,1709,1709,1769,1769
1881,1851,1851,1857,1857,1730,1730,1750,1750,1836,1836,1810,1810
1815,1833,1833,1664,1664,1777,1777,1767,1767,1849,1849,1735,1735
1839,1778,1778,1761,1761,1676,1676,1829,1829,1804,1804,1668,1668
1882,1727,1727,1853,1853,1677,1677,1778,1778,1818,1818,1766,1766
1855,1834,1834,1659,1659,1781,1781,1789,1789,1770,1770,1725,1725
1867,1853,1853,1979,1979,1870,1870,1888,1888,1925,1925,1916,1916
2058,2032,2032,1971,1971,1947,1947,1979,1979,2011,2011,1899,1899
2276,2357,2357,2349,2349,2358,2358,2363,2363,2352,2352,2362,2362
3464,3464,3464,3465,3465,3468,3468,3464,3464,3464,3464,3463,3463
3876,3877,3877,3884,3884,3879,3879,3882,3882,3874,3874,3882,3882
3654,3657,3657,3658,3658,3658,3658,3659,3659,3651,3651,3663,3663
2528,2578,2578,2591,2591,2578,2578,2564,2564,2569,2569,2566,2566
2192,2246,2246,2209,2209,2118,2118,2216,2216,2164,2164,2224,2224
1987,1990,1990,2001,2001,2054,2054,1926,1926,2037,2037,1930,1930
1883,1859,1859,1798,1798,1767,1767,1737,1737,1529,1529,1897,1897
1836,1773,1773,1794,1794,1696,1696,1728,1728,1790,1790,1788,1788
1823,1773,1773,1736,1736,1756,1756,1713,1713,1802,1802,1843,1843
1851,1827,1827,1663,1663,1790,1790,1882,1882,1765,1765,1735,1735
1921,1768,1768,1819,1819,1738,1738,1800,1800,1638,1638,1633,1633
1859,1560,1560,1889,1889,1612,1612,1739,1739,1783,1783,1745,1745
1726,1778,1778,1735,1735,1919,1919,1819,1819,1899,1899,1677,1677
2012,1909,1909,2083,2083,1951,1951,2029,2029,2006,2006,2045,2045
2235,2170,2170,2223,2223,2207,2207,2191,2191,2213,2213,2169,2169
2497,2548,2548,2547,2547,2542,2542,2540,2540,2565,2565,2553,2553
3650,3650,3650,3661,3661,3650,3650,3658,3658,3650,3650,3654,3654
3976,3978,3978,3980,3980,3975,3975,3979,3979,3974,3974,3979,3979
3754,3759,3759,3757,3757,3755,3755,3757,3757,3756,3756,3759,3759
2622,2652,2652,2617,2617,2646,2646,2633,2633,2650,2650,2661,2661
2242,2310,2310,2290,2290,2170,2170,2266,2266,2260,2260,2266,2266
2053,2015,2015,2068,2068,2100,2100,2021,2021,2085,2085,2021,2021
1927,1844,1844,1880,1880,1661,1661,1894,1894,1874,1874,1906,1906
1740,1642,1642,1707,1707,1830,1830,1791,1791,1789,1789,1719,1719
1641,1697,1697,1690,1690,1632,1632,1778,1778,1738,1738,1724,1724
1723,1672,1672,1464,1464,1719,1719,1812,1812,1701,1701,1678,1678
1824,1710,1710,1760,1760,1642,1642,1796,1796,1528,1528,1591,1591
1809,1679,1679,1863,1863,1684,1684,1792,1792,1740,1740,1798,1798
1871,1802,1802,1849,1849,1971,1971,1761,1761,1937,1937,1856,1856
2028,1987,1987,2131,2131,2047,2047,1986,1986,2033,2033,2110,2110
2316,2250,2250,2285,2285,2308,2308,2254,2254,2266,2266,2221,2221
2624,2643,2643,2643,2643,2610,2610,2614,2614,2641,2641,2646,2646
3751,3752,3752,3757,3757,3747,3747,3753,3753,3752,3752,3753,3753
3986,3985,3985,3985,3985,3986,3986,3985,3985,3985,3985,3985,3985
3769,3769,3769,3768,3768,3767,3767,3768,3768,3766,3766,3769,3769
2626,2650,2650,2638,2638,2621,2621,2682,2682,2636,2636,2664,2664
2269,2265,2265,2269,2269,2283,2283,2222,2222,2293,2293,2231,2231
2059,1937,1937,2041,2041,2036,2036,2014,2014,2068,2068,1998,1998
1860,1875,1875,1856,1856,1711,1711,1847,1847,1855,1855,1867,1867
1757,1617,1617,1714,1714,1758,1758,1654,1654,1732,1732,1723,1723
1656,1702,1702,1705,1705,1533,1533,1739,1739,1778,1778,1687,1687
1708,1645,1645,1554,1554,1741,1741,1672,1672,1715,1715,1630,1630
1712,1541,1541,1579,1579,1709,1709,1719,1719,1590,1590,1538,1538
1764,1768,1768,1806,1806,1587,1587,1711,1711,1658,1658,1766,1766
1865,1818,1818,1861,1861,2009,2009,1770,1770,1908,1908,1819,1819
2098,2010,2010,2133,2133,1994,1994,1989,1989,2011,2011,2106,2106
2293,2236,2236,2308,2308,2296,2296,2286,2286,2279,2279,2212,2212
2576,2640,2640,2670,2670,2636,2636,2640,2640,2653,2653,2623,2623
3762,3762,3762,3763,3763,3763,3763,3762,3762,3761,3761,3760,3760
3963,3962,3962,3962,3962,3962,3962,3961,3961,3961,3961,3959,3959
3742,3743,3743,3741,3741,3739,3739,3743,3743,3739,3739,3739,3739
2607,2618,2618,2602,2602,2579,2579,2637,2637,2602,2602,2603,2603
2233,2242,2242,2247,2247,2258,2258,2178,2178,2238,2238,2239,2239
2017,1938,1938,1911,1911,1988,1988,1996,1996,2014,2014,1861,1861
1818,1919,1919,1839,1839,1701,1701,1861,1861,1843,1843,1854,1854
1687,1528,1528,1653,1653,1626,1626,1649,1649,1726,1726,1705,1705
1525,1658,1658,1676,1676,1635,1635,1707,1707,1640,1640,1642,1642
1583,1417,1417,1510,1510,1664,1664,1804,1804,1571,1571,1683,1683
1635,1466,1466,1460,1460,1567,1567,1736,1736,1509,1509,1601,1601
1566,1587,1587,1757,1757,1453,1453,1673,1673,1734,1734,1667,1667
1802,1816,1816,1826,1826,1926,1926,1738,1738,1895,1895,1773,1773
