data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17
3647,3647,3647,3636,3636,3640,3640,3640,3640,3647,3647,3638,3638,3630,3630,3647,3647
3407,3422,3422,3406,3406,3414,3414,3416,3416,3416,3416,3406,3406,3392,3392,3413,3413
2309,2354,2354,2420,2420,2362,2362,2347,2347,2321,2321,2339,2339,2285,2285,2346,2346
1989,1921,1921,1938,1938,2021,2021,2017,2017,1990,1990,2034,2034,1911,1911,2066,2066
1814,1766,1766,1939,1939,1916,1916,1856,1856,1853,1853,1812,1812,1920,1920,1929,1929
1573,1837,1837,1880,1880,1685,1685,1832,1832,1823,1823,1685,1685,1735,1735,1675,1675
1625,1749,1749,1754,1754,1872,1872,1599,1599,1833,1833,1885,1885,1673,1673,1588,1588
1795,1770,1770,1679,1679,1824,1824,1784,1784,1662,1662,1852,1852,1704,1704,1660,1660
1729,1713,1713,1813,1813,1639,1639,1796,1796,1711,1711,1746,1746,1637,1637,1728,1728
1712,1723,1723,1747,1747,1715,1715,1752,1752,1749,1749,1701,1701,1768,1768,1741,1741
1704,1773,1773,1769,1769,1820,1820,1818,1818,1733,1733,1765,1765,1773,1773,1687,1687
1740,1893,1893,1781,1781,1930,1930,1786,1786,1683,1683,1726,1726,1638,1638,1737,1737
1911,1885,1885,1814,1814,1784,1784,1834,1834,1972,1972,1737,1737,1801,1801,1812,1812
2041,2043,2043,2012,2012,2106,2106,1988,1988,2018,2018,2078,2078,2055,2055,1974,1974
2397,2314,2314,2251,2251,2356,2356,2377,2377,2337,2337,2353,2353,2326,2326,2393,2393
3437,3429,3429,3420,3420,3422,3422,3419,3419,3429,3429,3421,3421,3417,3417,3435,3435
3859,3866,3866,3864,3864,3863,3863,3863,3863,3860,3860,3857,3857,3858,3858,3861,3861
3632,3638,3638,3640,3640,3642,3642,3640,3640,3636,3636,3629,3629,3632,3632,3635,3635
2516,2515,2515,2545,2545,2549,2549,2548,2548,2531,2531,2511,2511,2468,2468,2509,2509
2210,2105,2105,2150,2150,2198,2198,2210,2210,2203,2203,2191,2191,2213,2213,2251,2251
1960,1938,1938,2034,2034,2001,2001,1986,1986,1962,1962,1882,1882,1936,1936,1943,1943
1777,1880,1880,2006,2006,1795,1795,1864,1864,1814,1814,1831,1831,1834,1834,1848,1848
1762,1617,1617,1800,1800,1834,1834,1697,1697,1688,1688,1868,1868,1747,1747,1646,1646
1789,1762,1762,1740,1740,1666,1666,1837,1837,1631,1631,1803,1803,1643,1643,1553,1553
1680,1730,1730,1814,1814,1602,1602,1787,1787,1642,1642,1697,1697,1640,1640,1663,1663
1703,1745,1745,1645,1645,1773,1773,1628,1628,1700,1700,1716,1716,1787,1787,1710,1710
1798,1873,1873,1899,1899,1777,1777,1887,1887,1658,1658,1688,1688,1741,1741,1704,1704
1796,1795,1795,1710,1710,1804,1804,1820,1820,1753,1753,1810,1810,1876,1876,1792,1792
2030,1902,1902,1927,1927,1967,1967,1958,1958,1978,1978,1828,1828,1878,1878,1909,1909
2116,2216,2216,2187,2187,2230,2230,2157,2157,2146,2146,2243,2243,2095,2095,2189,2189
2560,2521,2521,2483,2483,2526,2526,2521,2521,2521,2521,2547,2547,2534,2534,2572,2572
3638,3642,3642,3642,3642,3641,3641,3640,3640,3637,3637,3638,3638,3636,3636,3644,3644
3960,3964,3964,3961,3961,3964,3964,3962,3962,3962,3962,3961,3961,3961,3961,3964,3964
3737,3741,3741,3737,3737,3740,3740,3740,3740,3739,3739,3733,3733,3736,3736,3738,3738
2598,2610,2610,2604,2604,2637,2637,2625,2625,2626,2626,2564,2564,2580,2580,2601,2601
2320,2248,2248,2280,2280,2267,2267,2283,2283,2271,2271,2238,2238,2275,2275,2232,2232
1889,2015,2015,2078,2078,2044,2044,2065,2065,1997,1997,2006,2006,1936,1936,2006,2006
